dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v1,0.77,0.75,0.73,0
indian_pines,30,v1,0.74,0.72,0.71,1
indian_pines,30,v1,0.75,0.71,0.72,2
indian_pines,30,v1,0.76,0.75,0.73,3
indian_pines,30,v1,0.75,0.69,0.71,4
indian_pines,30,v1,0.76,0.71,0.73,5
indian_pines,30,v1,0.76,0.76,0.73,6
indian_pines,30,v1,0.77,0.73,0.74,7
indian_pines,30,v1,0.77,0.74,0.74,8
indian_pines,30,v1,0.76,0.71,0.72,9
indian_pines,30,v1,0.74,0.67,0.71,10
indian_pines,30,v1,0.77,0.78,0.73,11
indian_pines,30,v1,0.75,0.75,0.71,12
indian_pines,30,v1,0.76,0.77,0.73,13
indian_pines,30,v1,0.77,0.75,0.74,14
indian_pines,30,v1,0.75,0.73,0.71,15
indian_pines,30,v1,0.77,0.76,0.74,16
indian_pines,30,v1,0.76,0.74,0.73,17
indian_pines,30,v1,0.75,0.72,0.72,18
indian_pines,30,v1,0.77,0.71,0.74,19
indian_pines,29,v1,0.77,0.75,0.74,0
indian_pines,29,v1,0.74,0.72,0.71,1
indian_pines,29,v1,0.75,0.71,0.72,2
indian_pines,29,v1,0.76,0.75,0.72,3
indian_pines,29,v1,0.74,0.69,0.71,4
indian_pines,29,v1,0.76,0.71,0.73,5
indian_pines,29,v1,0.77,0.77,0.73,6
indian_pines,29,v1,0.77,0.73,0.74,7
indian_pines,29,v1,0.77,0.74,0.73,8
indian_pines,29,v1,0.75,0.71,0.72,9
indian_pines,29,v1,0.74,0.67,0.71,10
indian_pines,29,v1,0.77,0.78,0.73,11
indian_pines,29,v1,0.75,0.75,0.71,12
indian_pines,29,v1,0.76,0.77,0.73,13
indian_pines,29,v1,0.77,0.75,0.74,14
indian_pines,29,v1,0.75,0.73,0.71,15
indian_pines,29,v1,0.77,0.76,0.74,16
indian_pines,29,v1,0.76,0.73,0.73,17
indian_pines,29,v1,0.76,0.73,0.73,18
indian_pines,29,v1,0.77,0.71,0.74,19
indian_pines,28,v1,0.77,0.75,0.73,0
indian_pines,28,v1,0.74,0.72,0.71,1
indian_pines,28,v1,0.75,0.71,0.72,2
indian_pines,28,v1,0.76,0.75,0.72,3
indian_pines,28,v1,0.75,0.69,0.71,4
indian_pines,28,v1,0.76,0.71,0.73,5
indian_pines,28,v1,0.77,0.76,0.73,6
indian_pines,28,v1,0.77,0.73,0.74,7
indian_pines,28,v1,0.77,0.73,0.74,8
indian_pines,28,v1,0.76,0.72,0.72,9
indian_pines,28,v1,0.74,0.66,0.7,10
indian_pines,28,v1,0.77,0.78,0.73,11
indian_pines,28,v1,0.74,0.75,0.71,12
indian_pines,28,v1,0.76,0.77,0.72,13
indian_pines,28,v1,0.77,0.74,0.73,14
indian_pines,28,v1,0.75,0.74,0.72,15
indian_pines,28,v1,0.77,0.76,0.74,16
indian_pines,28,v1,0.76,0.74,0.73,17
indian_pines,28,v1,0.76,0.72,0.73,18
indian_pines,28,v1,0.77,0.71,0.74,19
indian_pines,27,v1,0.76,0.75,0.73,0
indian_pines,27,v1,0.74,0.72,0.7,1
indian_pines,27,v1,0.76,0.72,0.72,2
indian_pines,27,v1,0.76,0.75,0.73,3
indian_pines,27,v1,0.74,0.69,0.7,4
indian_pines,27,v1,0.76,0.71,0.72,5
indian_pines,27,v1,0.77,0.76,0.73,6
indian_pines,27,v1,0.77,0.73,0.74,7
indian_pines,27,v1,0.76,0.72,0.73,8
indian_pines,27,v1,0.76,0.72,0.73,9
indian_pines,27,v1,0.74,0.66,0.71,10
indian_pines,27,v1,0.76,0.77,0.73,11
indian_pines,27,v1,0.75,0.75,0.71,12
indian_pines,27,v1,0.75,0.76,0.72,13
indian_pines,27,v1,0.77,0.75,0.74,14
indian_pines,27,v1,0.75,0.74,0.71,15
indian_pines,27,v1,0.77,0.76,0.74,16
indian_pines,27,v1,0.76,0.74,0.73,17
indian_pines,27,v1,0.77,0.72,0.74,18
indian_pines,27,v1,0.77,0.71,0.73,19
indian_pines,26,v1,0.75,0.75,0.72,0
indian_pines,26,v1,0.73,0.71,0.7,1
indian_pines,26,v1,0.75,0.72,0.72,2
indian_pines,26,v1,0.75,0.74,0.72,3
indian_pines,26,v1,0.74,0.69,0.7,4
indian_pines,26,v1,0.75,0.7,0.71,5
indian_pines,26,v1,0.76,0.74,0.72,6
indian_pines,26,v1,0.76,0.73,0.73,7
indian_pines,26,v1,0.76,0.72,0.72,8
