dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v9,0.77,0.7,0.74,0
indian_pines,30,v9,0.77,0.7,0.74,1
indian_pines,30,v9,0.77,0.7,0.74,2
indian_pines,30,v9,0.77,0.7,0.74,3
indian_pines,30,v9,0.77,0.7,0.74,4
indian_pines,30,v9,0.77,0.7,0.74,5
indian_pines,30,v9,0.77,0.7,0.74,6
indian_pines,30,v9,0.77,0.7,0.74,7
indian_pines,30,v9,0.77,0.7,0.74,8
indian_pines,30,v9,0.77,0.7,0.74,9
indian_pines,30,v9,0.77,0.7,0.74,10
indian_pines,30,v9,0.77,0.7,0.74,11
indian_pines,30,v9,0.77,0.7,0.74,12
indian_pines,30,v9,0.77,0.7,0.74,13
indian_pines,30,v9,0.77,0.7,0.74,14
indian_pines,30,v9,0.77,0.7,0.74,15
indian_pines,30,v9,0.77,0.7,0.74,16
indian_pines,30,v9,0.77,0.7,0.74,17
indian_pines,30,v9,0.77,0.7,0.74,18
indian_pines,30,v9,0.77,0.7,0.74,19
