dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,8,pcal,0.022,0.547,0.449,0.449,0|26|27|28|29|30|60|74,0.3518713725918798|0.3369130650236122|0.3366666221630125|0.3427495332976146|0.33411222120611733|0.34082996229422785|0.3630934125619165|0.37036226976091535
paviaU,8,pcal,0.02,0.791,0.723,0.723,14|15|16|17|18|19|101|102,0.15133500507059164|0.15205903579533397|0.15309658898306075|0.15346860758156336|0.15249936513048704|0.15152527256079226|0.15468124510506712|0.15441656202676451
salinas,8,pcal,0.051,0.797,0.826,0.826,40|41|42|43|44|45|46|47,0.286366393222405|0.3023358418628761|0.3041195510738231|0.3015554588274244|0.29642026312302866|0.2921299692801062|0.28889860372030923|0.28463467867767756
ghisaconus,8,pcal,0.009,0.671,0.591,0.591,19|20|21|22|23|24|25|27,0.3567252049527014|0.3613759913726557|0.3667851969127207|0.37939744794209473|0.39391744046830884|0.40047438871123475|0.387329445770737|0.37004374168948706
