dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,v2,226.523,0.787,0.76,0.76,4|5|6|7|8|23|35|36|37|38|41|57|58|59|63|69|100|114|128|148|149|157|160|161|169|170|173|174|175|176,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4922724962234497|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.11986476927995682|0.1098402664065361|0.7548199892044067|0.5033724904060364|0.22045128047466278|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164|0.25012949109077454|0.485801637172699
indian_pines,29,v2,0.0,0.785,0.758,0.758,4|5|6|7|8|23|35|36|37|38|41|57|58|59|63|69|100|114|128|148|149|157|161|169|170|173|174|175|176,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4922724962234497|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.11986476927995682|0.1098402664065361|0.7548199892044067|0.5033724904060364|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164|0.25012949109077454|0.485801637172699
indian_pines,28,v2,0.0,0.784,0.759,0.759,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|114|128|148|149|157|161|169|170|173|174|175|176,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.11986476927995682|0.1098402664065361|0.7548199892044067|0.5033724904060364|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164|0.25012949109077454|0.485801637172699
indian_pines,27,v2,0.0,0.783,0.757,0.757,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|114|128|148|149|157|161|169|170|173|174|175,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.11986476927995682|0.1098402664065361|0.7548199892044067|0.5033724904060364|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164|0.25012949109077454
indian_pines,26,v2,0.0,0.774,0.75,0.75,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|114|148|149|157|161|169|170|173|174|175,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.1098402664065361|0.7548199892044067|0.5033724904060364|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164|0.25012949109077454
indian_pines,25,v2,0.0,0.773,0.749,0.749,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|114|148|149|161|169|170|173|174|175,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164|0.25012949109077454
indian_pines,24,v2,0.0,0.769,0.747,0.747,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|114|148|149|161|169|170|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8393742442131042|0.8546153903007507|0.5529794692993164
indian_pines,23,v2,0.0,0.768,0.746,0.746,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|114|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.4913026690483093|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,22,v2,0.0,0.761,0.74,0.74,4|5|6|7|8|23|35|36|37|38|41|58|59|63|69|100|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.2928515672683716|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,21,v2,0.0,0.759,0.738,0.738,4|5|6|7|8|23|35|36|37|38|41|58|63|69|100|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.16450382769107819|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,20,v2,0.0,0.758,0.736,0.736,4|5|6|7|8|23|35|37|38|41|58|63|69|100|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.5447908043861389|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,19,v2,0.0,0.757,0.734,0.734,4|5|6|7|8|23|35|38|41|58|63|69|100|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.6628623604774475|0.4488968551158905|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,18,v2,0.0,0.754,0.73,0.73,4|5|6|7|8|23|35|38|58|63|69|100|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.5719369649887085|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.4488968551158905|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,17,v2,0.0,0.755,0.728,0.728,4|5|6|7|23|35|38|58|63|69|100|148|149|161|169|173|174,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.4488968551158905|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507|0.5529794692993164
indian_pines,16,v2,0.0,0.755,0.728,0.728,4|5|6|7|23|35|38|58|63|69|100|148|149|161|169|173,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.4488968551158905|0.29548805952072144|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507
indian_pines,15,v2,0.0,0.755,0.728,0.728,4|5|6|7|23|35|38|58|69|100|148|149|161|169|173,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.4488968551158905|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507
indian_pines,14,v2,0.0,0.752,0.723,0.723,4|5|6|7|23|35|38|69|100|148|149|161|169|173,0.4303036630153656|0.6815574169158936|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507
indian_pines,13,v2,0.0,0.754,0.727,0.727,4|6|7|23|35|38|69|100|148|149|161|169|173,0.4303036630153656|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.2823801636695862|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507
indian_pines,12,v2,0.0,0.737,0.699,0.699,4|6|7|23|35|69|100|148|149|161|169|173,0.4303036630153656|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.5738212466239929|0.8546153903007507
indian_pines,11,v2,0.0,0.739,0.699,0.699,4|6|7|23|35|69|100|148|149|161|173,0.4303036630153656|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.8306246399879456|0.3974379897117615|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.8546153903007507
indian_pines,10,v2,0.0,0.717,0.673,0.673,4|6|7|23|35|69|148|149|161|173,0.4303036630153656|0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.8306246399879456|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.8546153903007507
indian_pines,9,v2,0.0,0.726,0.685,0.685,6|7|23|35|69|148|149|161|173,0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.8306246399879456|0.1098402664065361|0.7548199892044067|0.3939366638660431|0.8546153903007507
indian_pines,8,v2,0.0,0.727,0.687,0.687,6|7|23|35|69|148|161|173,0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.8306246399879456|0.1098402664065361|0.3939366638660431|0.8546153903007507
indian_pines,7,v2,0.0,0.725,0.679,0.679,6|7|23|35|69|148|161,0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.8306246399879456|0.1098402664065361|0.3939366638660431
indian_pines,6,v2,0.0,0.677,0.618,0.618,6|7|23|35|148|161,0.7676346898078918|0.29699549078941345|0.6466470956802368|0.7839857935905457|0.1098402664065361|0.3939366638660431
indian_pines,5,v2,0.0,0.681,0.622,0.622,7|23|35|148|161,0.29699549078941345|0.6466470956802368|0.7839857935905457|0.1098402664065361|0.3939366638660431
