dataset,target_size,algorithm,oa,aa,k,fold
ghisaconus,30,v1,0.79,0.66,0.67,0
ghisaconus,30,v1,0.79,0.66,0.67,1
ghisaconus,30,v1,0.79,0.66,0.67,2
ghisaconus,30,v1,0.79,0.66,0.67,3
ghisaconus,30,v1,0.79,0.66,0.67,4
ghisaconus,30,v1,0.79,0.66,0.67,5
ghisaconus,30,v1,0.79,0.66,0.67,6
ghisaconus,30,v1,0.79,0.66,0.67,7
ghisaconus,30,v1,0.79,0.66,0.67,8
ghisaconus,30,v1,0.79,0.66,0.67,9
ghisaconus,30,v1,0.79,0.66,0.67,10
ghisaconus,30,v1,0.79,0.66,0.67,11
ghisaconus,30,v1,0.79,0.66,0.67,12
ghisaconus,30,v1,0.79,0.66,0.67,13
ghisaconus,30,v1,0.79,0.66,0.67,14
ghisaconus,30,v1,0.79,0.66,0.67,15
ghisaconus,30,v1,0.79,0.66,0.67,16
ghisaconus,30,v1,0.79,0.66,0.67,17
ghisaconus,30,v1,0.79,0.66,0.67,18
ghisaconus,30,v1,0.79,0.66,0.67,19
ghisaconus,29,v1,0.8,0.67,0.68,0
ghisaconus,29,v1,0.8,0.67,0.68,1
ghisaconus,29,v1,0.8,0.67,0.68,2
ghisaconus,29,v1,0.8,0.67,0.68,3
ghisaconus,29,v1,0.8,0.67,0.68,4
ghisaconus,29,v1,0.8,0.67,0.68,5
ghisaconus,29,v1,0.8,0.67,0.68,6
ghisaconus,29,v1,0.8,0.67,0.68,7
ghisaconus,29,v1,0.8,0.67,0.68,8
ghisaconus,29,v1,0.8,0.67,0.68,9
ghisaconus,29,v1,0.8,0.67,0.68,10
ghisaconus,29,v1,0.8,0.67,0.68,11
ghisaconus,29,v1,0.8,0.67,0.68,12
ghisaconus,29,v1,0.8,0.67,0.68,13
ghisaconus,29,v1,0.8,0.67,0.68,14
ghisaconus,29,v1,0.8,0.67,0.68,15
ghisaconus,29,v1,0.8,0.67,0.68,16
ghisaconus,29,v1,0.8,0.67,0.68,17
ghisaconus,29,v1,0.8,0.67,0.68,18
ghisaconus,29,v1,0.8,0.67,0.68,19
ghisaconus,28,v1,0.8,0.67,0.68,0
ghisaconus,28,v1,0.8,0.67,0.68,1
ghisaconus,28,v1,0.8,0.67,0.68,2
ghisaconus,28,v1,0.8,0.67,0.68,3
ghisaconus,28,v1,0.8,0.67,0.68,4
ghisaconus,28,v1,0.8,0.67,0.68,5
ghisaconus,28,v1,0.8,0.67,0.68,6
ghisaconus,28,v1,0.8,0.67,0.68,7
ghisaconus,28,v1,0.8,0.67,0.68,8
ghisaconus,28,v1,0.8,0.67,0.68,9
ghisaconus,28,v1,0.8,0.67,0.68,10
ghisaconus,28,v1,0.8,0.67,0.68,11
ghisaconus,28,v1,0.8,0.67,0.68,12
ghisaconus,28,v1,0.8,0.67,0.68,13
ghisaconus,28,v1,0.8,0.67,0.68,14
ghisaconus,28,v1,0.8,0.67,0.68,15
ghisaconus,28,v1,0.8,0.67,0.68,16
ghisaconus,28,v1,0.8,0.67,0.68,17
ghisaconus,28,v1,0.8,0.67,0.68,18
ghisaconus,28,v1,0.8,0.67,0.68,19
ghisaconus,27,v1,0.8,0.67,0.68,0
ghisaconus,27,v1,0.8,0.67,0.68,1
ghisaconus,27,v1,0.8,0.67,0.68,2
ghisaconus,27,v1,0.8,0.67,0.68,3
ghisaconus,27,v1,0.8,0.67,0.68,4
ghisaconus,27,v1,0.8,0.67,0.68,5
ghisaconus,27,v1,0.8,0.67,0.68,6
ghisaconus,27,v1,0.8,0.67,0.68,7
ghisaconus,27,v1,0.8,0.67,0.68,8
ghisaconus,27,v1,0.8,0.67,0.68,9
ghisaconus,27,v1,0.8,0.67,0.68,10
ghisaconus,27,v1,0.8,0.67,0.68,11
ghisaconus,27,v1,0.8,0.67,0.68,12
ghisaconus,27,v1,0.8,0.67,0.68,13
ghisaconus,27,v1,0.8,0.67,0.68,14
ghisaconus,27,v1,0.8,0.67,0.68,15
ghisaconus,27,v1,0.8,0.67,0.68,16
ghisaconus,27,v1,0.8,0.67,0.68,17
ghisaconus,27,v1,0.8,0.67,0.68,18
ghisaconus,27,v1,0.8,0.67,0.68,19
ghisaconus,26,v1,0.8,0.68,0.68,0
ghisaconus,26,v1,0.8,0.68,0.68,1
ghisaconus,26,v1,0.8,0.68,0.68,2
ghisaconus,26,v1,0.8,0.68,0.68,3
ghisaconus,26,v1,0.8,0.68,0.68,4
ghisaconus,26,v1,0.8,0.68,0.68,5
ghisaconus,26,v1,0.8,0.68,0.68,6
ghisaconus,26,v1,0.8,0.68,0.68,7
ghisaconus,26,v1,0.8,0.68,0.68,8
ghisaconus,26,v1,0.8,0.68,0.68,9
ghisaconus,26,v1,0.8,0.68,0.68,10
ghisaconus,26,v1,0.8,0.68,0.68,11
ghisaconus,26,v1,0.8,0.68,0.68,12
ghisaconus,26,v1,0.8,0.68,0.68,13
ghisaconus,26,v1,0.8,0.68,0.68,14
ghisaconus,26,v1,0.8,0.68,0.68,15
ghisaconus,26,v1,0.8,0.68,0.68,16
