dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
paviaU,30,bsnet,2083.688,0.908,0.885,0.885,0|3|10|16|17|29|30|32|35|39|45|47|51|53|54|55|57|63|75|79|81|83|84|85|87|88|91|93|99|100,0.38680335879325867|0.42289385199546814|0.4298105239868164|0.4915830194950104|0.3869977593421936|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.4095810055732727|0.48991823196411133|0.4540097415447235|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5419231653213501|0.5567930340766907|0.3994416296482086|0.44399672746658325
paviaU,29,bsnet,0.0,0.909,0.886,0.886,0|3|10|16|17|29|30|32|35|39|45|47|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99|100,0.38680335879325867|0.42289385199546814|0.4298105239868164|0.4915830194950104|0.3869977593421936|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.4095810055732727|0.48991823196411133|0.4540097415447235|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086|0.44399672746658325
paviaU,28,bsnet,0.0,0.909,0.885,0.885,0|3|10|16|29|30|32|35|39|45|47|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99|100,0.38680335879325867|0.42289385199546814|0.4298105239868164|0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.4095810055732727|0.48991823196411133|0.4540097415447235|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086|0.44399672746658325
paviaU,27,bsnet,0.0,0.909,0.884,0.884,0|3|10|16|29|30|32|35|45|47|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99|100,0.38680335879325867|0.42289385199546814|0.4298105239868164|0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.4540097415447235|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086|0.44399672746658325
paviaU,26,bsnet,0.0,0.909,0.884,0.884,0|10|16|29|30|32|35|45|47|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99|100,0.38680335879325867|0.4298105239868164|0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.4540097415447235|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086|0.44399672746658325
paviaU,25,bsnet,0.0,0.909,0.884,0.884,0|10|16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99|100,0.38680335879325867|0.4298105239868164|0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086|0.44399672746658325
paviaU,24,bsnet,0.0,0.91,0.884,0.884,0|10|16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99,0.38680335879325867|0.4298105239868164|0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086
paviaU,23,bsnet,0.0,0.909,0.884,0.884,0|16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99,0.38680335879325867|0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086
paviaU,22,bsnet,0.0,0.912,0.887,0.887,16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|85|87|88|93|99,0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.3634842038154602|0.381136417388916|0.5567930340766907|0.3994416296482086
paviaU,21,bsnet,0.0,0.913,0.888,0.888,16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|85|88|93|99,0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.4630039632320404|0.381136417388916|0.5567930340766907|0.3994416296482086
paviaU,20,bsnet,0.0,0.913,0.888,0.888,16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|88|93|99,0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.381136417388916|0.5567930340766907|0.3994416296482086
paviaU,19,bsnet,0.0,0.908,0.884,0.884,16|29|30|32|35|45|51|53|54|55|57|63|75|79|81|83|84|88|93,0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.4171106517314911|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.381136417388916|0.5567930340766907
paviaU,18,bsnet,0.0,0.909,0.885,0.885,16|29|30|32|45|51|53|54|55|57|63|75|79|81|83|84|88|93,0.4915830194950104|0.385372132062912|0.34623298048973083|0.4015037715435028|0.48991823196411133|0.43361330032348633|0.4470239579677582|0.446760892868042|0.4001065194606781|0.4807978570461273|0.4117334485054016|0.3938539922237396|0.4223998188972473|0.4537729322910309|0.4984324872493744|0.49687549471855164|0.381136417388916|0.5567930340766907
