dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,bsdr,12.124,0.736,0.656,0.656,7|14|19|25|32|37|44|51|59|65|69|77|83|90|96|101|109|114|125|128|135|140|148|153|160|164|172|178|184|191,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,29,bsdr,9.557,0.741,0.641,0.641,7|14|19|27|34|41|47|52|59|63|73|80|86|91|100|106|111|119|127|133|139|145|153|159|164|172|178|184|191,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,28,bsdr,9.131,0.716,0.625,0.625,7|14|19|27|35|40|49|55|62|69|75|81|89|96|103|110|116|124|128|137|142|149|156|162|170|178|184|191,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,27,bsdr,9.307,0.748,0.667,0.667,8|15|22|28|36|42|50|58|64|69|78|85|92|100|106|114|121|127|132|141|149|155|161|170|176|184|190,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,26,bsdr,9.05,0.717,0.639,0.639,8|14|24|29|37|43|51|58|65|74|80|87|96|103|110|121|127|128|137|147|154|161|166|176|184|190,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,25,bsdr,9.351,0.725,0.621,0.621,8|16|23|30|38|47|53|61|68|77|84|92|101|106|115|124|128|136|145|153|161|167|175|182|191,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,24,bsdr,9.579,0.698,0.621,0.621,8|16|24|32|40|50|56|63|71|80|86|95|103|113|124|127|132|142|151|160|166|173|182|191,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,23,bsdr,9.013,0.751,0.67,0.67,8|16|26|34|43|50|58|65|75|83|91|100|107|117|124|128|140|149|159|163|175|181|190,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,22,bsdr,8.946,0.732,0.658,0.658,9|18|25|35|41|52|59|70|77|86|94|103|112|120|128|137|147|154|163|172|180|190,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,21,bsdr,8.956,0.719,0.633,0.633,10|19|27|36|44|54|63|70|80|89|100|109|119|127|135|144|154|163|171|180|190,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
