dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
ghisaconus,30,bsnet,1.812,0.788,0.655,0.655,0|2|21|29|31|32|34|35|38|39|49|52|56|67|70|73|79|82|89|92|94|95|99|101|103|112|116|120|123|127,0.5067326426506042|0.5031923651695251|0.4753645360469818|0.5136849284172058|0.4964721202850342|0.4606913924217224|0.520132303237915|0.5397084355354309|0.5135844349861145|0.561836838722229|0.5014398694038391|0.4213625490665436|0.5306344628334045|0.5010100603103638|0.5169278979301453|0.4938654899597168|0.42324256896972656|0.4723116457462311|0.49003639817237854|0.4535626173019409|0.48410889506340027|0.5120750069618225|0.5162292122840881|0.5039694309234619|0.4689615070819855|0.44707149267196655|0.4323557913303375|0.4907800853252411|0.541302502155304|0.5216683149337769
ghisaconus,30,v0,0.338,0.782,0.662,0.662,6|8|9|11|20|24|25|27|29|36|37|49|51|55|56|59|61|62|66|68|70|73|78|83|97|108|109|116|122|130,0.43731141090393066|0.5275440812110901|0.6421852707862854|0.6692586541175842|0.5596320629119873|0.7031311988830566|0.5875197052955627|0.6844571232795715|0.19155794382095337|0.5977761745452881|0.5433255434036255|0.5004072785377502|0.3959364593029022|0.6846886873245239|0.5842395424842834|0.6582827568054199|0.3413309156894684|0.4498824179172516|0.6130536198616028|0.20120464265346527|0.36058810353279114|0.49849140644073486|0.6040667295455933|0.318266898393631|0.39350688457489014|0.554093062877655|0.678728461265564|0.2456444352865219|0.5050359964370728|0.6469546556472778
ghisaconus,30,v9,0.007,0.763,0.639,0.639,2|5|8|12|14|15|19|24|41|42|51|53|57|60|64|66|74|77|78|82|83|97|98|101|112|114|117|120|129|130,0.04649868234992027|0.11871020495891571|0.04717468097805977|0.0652753934264183|0.139976367354393|0.022431999444961548|0.041343677788972855|0.1109369769692421|0.1392713189125061|0.13481423258781433|0.03645499795675278|0.10622670501470566|0.06874463707208633|0.05927547812461853|0.03851471096277237|0.08578747510910034|0.02678759954869747|0.05144337937235832|0.04560760781168938|0.029954994097352028|0.10096332430839539|0.0476183220744133|0.13931098580360413|0.1277640461921692|0.25591951608657837|0.06080801784992218|0.04971066862344742|0.2268204391002655|0.05172525718808174|0.04031762853264809
