dataset,target_size,algorithm,oa,aa,k,fold
ghisaconus,30,bsnet,0.79,0.65,0.67,0
ghisaconus,30,bsnet,0.79,0.65,0.67,1
ghisaconus,30,bsnet,0.79,0.65,0.67,2
ghisaconus,30,bsnet,0.79,0.65,0.67,3
ghisaconus,30,bsnet,0.79,0.65,0.67,4
ghisaconus,30,bsnet,0.79,0.65,0.67,5
ghisaconus,30,bsnet,0.79,0.65,0.67,6
ghisaconus,30,bsnet,0.79,0.65,0.67,7
ghisaconus,30,bsnet,0.79,0.65,0.67,8
ghisaconus,30,bsnet,0.79,0.65,0.67,9
ghisaconus,30,bsnet,0.79,0.65,0.67,10
ghisaconus,30,bsnet,0.79,0.65,0.67,11
ghisaconus,30,bsnet,0.79,0.65,0.67,12
ghisaconus,30,bsnet,0.79,0.65,0.67,13
ghisaconus,30,bsnet,0.79,0.65,0.67,14
ghisaconus,30,bsnet,0.79,0.65,0.67,15
ghisaconus,30,bsnet,0.79,0.65,0.67,16
ghisaconus,30,bsnet,0.79,0.65,0.67,17
ghisaconus,30,bsnet,0.79,0.65,0.67,18
ghisaconus,30,bsnet,0.79,0.65,0.67,19
ghisaconus,30,v0,0.78,0.66,0.66,0
ghisaconus,30,v0,0.78,0.66,0.66,1
ghisaconus,30,v0,0.78,0.66,0.66,2
ghisaconus,30,v0,0.78,0.66,0.66,3
ghisaconus,30,v0,0.78,0.66,0.66,4
ghisaconus,30,v0,0.78,0.66,0.66,5
ghisaconus,30,v0,0.78,0.66,0.66,6
ghisaconus,30,v0,0.78,0.66,0.66,7
ghisaconus,30,v0,0.78,0.66,0.66,8
ghisaconus,30,v0,0.78,0.66,0.66,9
ghisaconus,30,v0,0.78,0.66,0.66,10
ghisaconus,30,v0,0.78,0.66,0.66,11
ghisaconus,30,v0,0.78,0.66,0.66,12
ghisaconus,30,v0,0.78,0.66,0.66,13
ghisaconus,30,v0,0.78,0.66,0.66,14
ghisaconus,30,v0,0.78,0.66,0.66,15
ghisaconus,30,v0,0.78,0.66,0.66,16
ghisaconus,30,v0,0.78,0.66,0.66,17
ghisaconus,30,v0,0.78,0.66,0.66,18
ghisaconus,30,v0,0.78,0.66,0.66,19
ghisaconus,30,v9,0.76,0.64,0.63,0
ghisaconus,30,v9,0.76,0.64,0.63,1
ghisaconus,30,v9,0.76,0.64,0.63,2
ghisaconus,30,v9,0.76,0.64,0.63,3
ghisaconus,30,v9,0.76,0.64,0.63,4
ghisaconus,30,v9,0.76,0.64,0.63,5
ghisaconus,30,v9,0.76,0.64,0.63,6
ghisaconus,30,v9,0.76,0.64,0.63,7
ghisaconus,30,v9,0.76,0.64,0.63,8
ghisaconus,30,v9,0.76,0.64,0.63,9
ghisaconus,30,v9,0.76,0.64,0.63,10
ghisaconus,30,v9,0.76,0.64,0.63,11
ghisaconus,30,v9,0.76,0.64,0.63,12
ghisaconus,30,v9,0.76,0.64,0.63,13
ghisaconus,30,v9,0.76,0.64,0.63,14
ghisaconus,30,v9,0.76,0.64,0.63,15
ghisaconus,30,v9,0.76,0.64,0.63,16
ghisaconus,30,v9,0.76,0.64,0.63,17
ghisaconus,30,v9,0.76,0.64,0.63,18
ghisaconus,30,v9,0.76,0.64,0.63,19
