fold,dataset,oa,aa,k
0,ghisaconus,0.78,0.704,0.653
1,ghisaconus,0.761,0.712,0.625
2,ghisaconus,0.757,0.672,0.624
3,ghisaconus,0.754,0.716,0.616
4,ghisaconus,0.745,0.721,0.61
5,ghisaconus,0.768,0.755,0.638
6,ghisaconus,0.759,0.712,0.625
7,ghisaconus,0.772,0.758,0.641
8,ghisaconus,0.742,0.708,0.604
9,ghisaconus,0.769,0.777,0.638
10,ghisaconus,0.774,0.647,0.65
11,ghisaconus,0.756,0.683,0.621
12,ghisaconus,0.772,0.694,0.643
13,ghisaconus,0.75,0.686,0.607
14,ghisaconus,0.775,0.726,0.643
15,ghisaconus,0.755,0.708,0.617
16,ghisaconus,0.762,0.707,0.63
17,ghisaconus,0.757,0.728,0.621
18,ghisaconus,0.773,0.679,0.642
19,ghisaconus,0.768,0.734,0.641
