dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v5,0.78,0.8,0.75,0
indian_pines,30,v5,0.77,0.75,0.74,1
indian_pines,30,v5,0.79,0.75,0.76,2
indian_pines,30,v5,0.77,0.77,0.73,3
indian_pines,30,v5,0.78,0.71,0.75,4
indian_pines,30,v5,0.79,0.75,0.76,5
indian_pines,30,v5,0.79,0.79,0.76,6
indian_pines,30,v5,0.8,0.77,0.77,7
indian_pines,30,v5,0.79,0.75,0.76,8
indian_pines,30,v5,0.76,0.72,0.73,9
indian_pines,30,v5,0.78,0.69,0.74,10
indian_pines,30,v5,0.8,0.81,0.77,11
indian_pines,30,v5,0.77,0.77,0.74,12
indian_pines,30,v5,0.78,0.77,0.75,13
indian_pines,30,v5,0.8,0.76,0.77,14
indian_pines,30,v5,0.79,0.78,0.76,15
indian_pines,30,v5,0.79,0.77,0.76,16
indian_pines,30,v5,0.79,0.76,0.76,17
indian_pines,30,v5,0.78,0.77,0.75,18
indian_pines,30,v5,0.8,0.74,0.77,19
indian_pines,29,v5,0.78,0.8,0.75,0
indian_pines,29,v5,0.78,0.76,0.75,1
indian_pines,29,v5,0.79,0.75,0.76,2
indian_pines,29,v5,0.77,0.77,0.73,3
indian_pines,29,v5,0.78,0.72,0.74,4
indian_pines,29,v5,0.79,0.75,0.76,5
indian_pines,29,v5,0.79,0.79,0.76,6
indian_pines,29,v5,0.8,0.77,0.77,7
indian_pines,29,v5,0.79,0.76,0.76,8
indian_pines,29,v5,0.77,0.73,0.74,9
indian_pines,29,v5,0.77,0.69,0.74,10
indian_pines,29,v5,0.8,0.81,0.77,11
indian_pines,29,v5,0.77,0.77,0.74,12
indian_pines,29,v5,0.78,0.78,0.75,13
indian_pines,29,v5,0.8,0.77,0.77,14
indian_pines,29,v5,0.79,0.79,0.76,15
indian_pines,29,v5,0.79,0.77,0.76,16
indian_pines,29,v5,0.79,0.78,0.76,17
indian_pines,29,v5,0.78,0.77,0.75,18
indian_pines,29,v5,0.8,0.74,0.78,19
indian_pines,28,v5,0.78,0.8,0.75,0
indian_pines,28,v5,0.77,0.76,0.74,1
indian_pines,28,v5,0.79,0.75,0.76,2
indian_pines,28,v5,0.77,0.77,0.74,3
indian_pines,28,v5,0.77,0.71,0.74,4
indian_pines,28,v5,0.78,0.75,0.75,5
indian_pines,28,v5,0.79,0.79,0.76,6
indian_pines,28,v5,0.8,0.77,0.77,7
indian_pines,28,v5,0.78,0.76,0.75,8
indian_pines,28,v5,0.77,0.73,0.74,9
indian_pines,28,v5,0.77,0.69,0.74,10
indian_pines,28,v5,0.8,0.81,0.78,11
indian_pines,28,v5,0.77,0.77,0.74,12
indian_pines,28,v5,0.78,0.77,0.74,13
indian_pines,28,v5,0.8,0.76,0.77,14
indian_pines,28,v5,0.79,0.78,0.76,15
indian_pines,28,v5,0.79,0.77,0.76,16
indian_pines,28,v5,0.79,0.78,0.76,17
indian_pines,28,v5,0.78,0.77,0.75,18
indian_pines,28,v5,0.8,0.74,0.78,19
indian_pines,27,v5,0.78,0.8,0.75,0
indian_pines,27,v5,0.77,0.76,0.74,1
indian_pines,27,v5,0.79,0.75,0.76,2
indian_pines,27,v5,0.77,0.77,0.73,3
indian_pines,27,v5,0.77,0.71,0.74,4
indian_pines,27,v5,0.78,0.75,0.75,5
indian_pines,27,v5,0.78,0.79,0.75,6
indian_pines,27,v5,0.8,0.77,0.77,7
indian_pines,27,v5,0.78,0.76,0.75,8
indian_pines,27,v5,0.77,0.73,0.74,9
indian_pines,27,v5,0.77,0.69,0.74,10
indian_pines,27,v5,0.8,0.81,0.78,11
indian_pines,27,v5,0.77,0.77,0.74,12
indian_pines,27,v5,0.77,0.77,0.74,13
indian_pines,27,v5,0.8,0.76,0.77,14
indian_pines,27,v5,0.79,0.78,0.76,15
indian_pines,27,v5,0.78,0.77,0.75,16
indian_pines,27,v5,0.79,0.78,0.76,17
indian_pines,27,v5,0.78,0.77,0.75,18
indian_pines,27,v5,0.8,0.74,0.77,19
indian_pines,26,v5,0.78,0.8,0.75,0
indian_pines,26,v5,0.77,0.76,0.74,1
indian_pines,26,v5,0.79,0.75,0.76,2
indian_pines,26,v5,0.77,0.76,0.73,3
indian_pines,26,v5,0.77,0.71,0.74,4
indian_pines,26,v5,0.78,0.76,0.76,5
indian_pines,26,v5,0.78,0.79,0.75,6
indian_pines,26,v5,0.8,0.77,0.77,7
indian_pines,26,v5,0.78,0.76,0.75,8
indian_pines,26,v5,0.78,0.74,0.75,9
indian_pines,26,v5,0.76,0.68,0.73,10
indian_pines,26,v5,0.8,0.81,0.78,11
indian_pines,26,v5,0.77,0.77,0.74,12
indian_pines,26,v5,0.77,0.77,0.74,13
indian_pines,26,v5,0.8,0.76,0.77,14
indian_pines,26,v5,0.79,0.79,0.76,15
indian_pines,26,v5,0.78,0.76,0.75,16
indian_pines,26,v5,0.78,0.78,0.75,17
indian_pines,26,v5,0.78,0.77,0.75,18
indian_pines,26,v5,0.8,0.74,0.77,19
indian_pines,25,v5,0.78,0.8,0.75,0
indian_pines,25,v5,0.78,0.76,0.74,1
indian_pines,25,v5,0.79,0.74,0.76,2
indian_pines,25,v5,0.76,0.77,0.73,3
indian_pines,25,v5,0.77,0.71,0.74,4
indian_pines,25,v5,0.79,0.75,0.76,5
indian_pines,25,v5,0.78,0.79,0.75,6
indian_pines,25,v5,0.8,0.77,0.77,7
indian_pines,25,v5,0.79,0.76,0.76,8
indian_pines,25,v5,0.78,0.74,0.75,9
indian_pines,25,v5,0.77,0.68,0.73,10
indian_pines,25,v5,0.8,0.81,0.78,11
indian_pines,25,v5,0.77,0.77,0.74,12
indian_pines,25,v5,0.78,0.77,0.75,13
indian_pines,25,v5,0.79,0.75,0.76,14
indian_pines,25,v5,0.79,0.79,0.76,15
indian_pines,25,v5,0.78,0.77,0.75,16
indian_pines,25,v5,0.79,0.78,0.76,17
indian_pines,25,v5,0.78,0.77,0.75,18
indian_pines,25,v5,0.8,0.75,0.77,19
indian_pines,24,v5,0.77,0.79,0.74,0
indian_pines,24,v5,0.78,0.76,0.74,1
indian_pines,24,v5,0.79,0.74,0.76,2
indian_pines,24,v5,0.76,0.77,0.73,3
indian_pines,24,v5,0.78,0.72,0.75,4
indian_pines,24,v5,0.79,0.75,0.76,5
indian_pines,24,v5,0.79,0.8,0.76,6
indian_pines,24,v5,0.8,0.78,0.78,7
indian_pines,24,v5,0.79,0.76,0.76,8
indian_pines,24,v5,0.78,0.74,0.75,9
indian_pines,24,v5,0.76,0.68,0.73,10
indian_pines,24,v5,0.8,0.81,0.77,11
indian_pines,24,v5,0.77,0.77,0.73,12
indian_pines,24,v5,0.78,0.76,0.74,13
indian_pines,24,v5,0.79,0.76,0.76,14
indian_pines,24,v5,0.79,0.78,0.76,15
indian_pines,24,v5,0.78,0.76,0.75,16
indian_pines,24,v5,0.79,0.78,0.76,17
indian_pines,24,v5,0.78,0.77,0.75,18
indian_pines,24,v5,0.8,0.75,0.78,19
indian_pines,23,v5,0.78,0.8,0.75,0
indian_pines,23,v5,0.77,0.76,0.74,1
indian_pines,23,v5,0.79,0.74,0.76,2
indian_pines,23,v5,0.76,0.77,0.73,3
indian_pines,23,v5,0.77,0.71,0.74,4
indian_pines,23,v5,0.79,0.75,0.76,5
indian_pines,23,v5,0.79,0.79,0.76,6
indian_pines,23,v5,0.81,0.78,0.78,7
indian_pines,23,v5,0.79,0.76,0.76,8
indian_pines,23,v5,0.78,0.74,0.75,9
indian_pines,23,v5,0.76,0.68,0.73,10
indian_pines,23,v5,0.8,0.81,0.77,11
indian_pines,23,v5,0.77,0.77,0.74,12
indian_pines,23,v5,0.78,0.78,0.75,13
indian_pines,23,v5,0.79,0.75,0.76,14
indian_pines,23,v5,0.79,0.78,0.76,15
indian_pines,23,v5,0.78,0.76,0.75,16
indian_pines,23,v5,0.79,0.78,0.76,17
indian_pines,23,v5,0.77,0.77,0.74,18
indian_pines,23,v5,0.8,0.75,0.77,19
indian_pines,22,v5,0.77,0.79,0.74,0
indian_pines,22,v5,0.77,0.75,0.74,1
indian_pines,22,v5,0.79,0.75,0.76,2
indian_pines,22,v5,0.76,0.77,0.72,3
indian_pines,22,v5,0.77,0.71,0.74,4
indian_pines,22,v5,0.79,0.75,0.76,5
indian_pines,22,v5,0.79,0.79,0.76,6
indian_pines,22,v5,0.8,0.78,0.78,7
indian_pines,22,v5,0.78,0.77,0.76,8
indian_pines,22,v5,0.78,0.74,0.75,9
indian_pines,22,v5,0.76,0.68,0.73,10
indian_pines,22,v5,0.8,0.82,0.77,11
indian_pines,22,v5,0.77,0.77,0.74,12
indian_pines,22,v5,0.78,0.77,0.74,13
indian_pines,22,v5,0.79,0.76,0.76,14
indian_pines,22,v5,0.79,0.79,0.76,15
indian_pines,22,v5,0.78,0.76,0.75,16
indian_pines,22,v5,0.79,0.78,0.76,17
indian_pines,22,v5,0.77,0.77,0.74,18
indian_pines,22,v5,0.8,0.76,0.77,19
indian_pines,21,v5,0.78,0.8,0.74,0
indian_pines,21,v5,0.77,0.76,0.74,1
indian_pines,21,v5,0.78,0.74,0.75,2
indian_pines,21,v5,0.76,0.77,0.72,3
indian_pines,21,v5,0.77,0.71,0.74,4
indian_pines,21,v5,0.77,0.74,0.74,5
indian_pines,21,v5,0.78,0.78,0.75,6
indian_pines,21,v5,0.8,0.77,0.77,7
indian_pines,21,v5,0.78,0.76,0.75,8
indian_pines,21,v5,0.77,0.74,0.74,9
indian_pines,21,v5,0.76,0.67,0.73,10
indian_pines,21,v5,0.79,0.81,0.76,11
indian_pines,21,v5,0.76,0.76,0.72,12
indian_pines,21,v5,0.77,0.76,0.74,13
indian_pines,21,v5,0.78,0.75,0.75,14
indian_pines,21,v5,0.79,0.78,0.76,15
indian_pines,21,v5,0.77,0.76,0.74,16
indian_pines,21,v5,0.78,0.77,0.75,17
indian_pines,21,v5,0.76,0.77,0.73,18
indian_pines,21,v5,0.79,0.75,0.76,19
indian_pines,20,v5,0.78,0.8,0.75,0
indian_pines,20,v5,0.76,0.75,0.73,1
indian_pines,20,v5,0.78,0.74,0.75,2
indian_pines,20,v5,0.75,0.77,0.72,3
indian_pines,20,v5,0.76,0.71,0.72,4
indian_pines,20,v5,0.78,0.75,0.75,5
indian_pines,20,v5,0.78,0.79,0.75,6
indian_pines,20,v5,0.8,0.77,0.77,7
indian_pines,20,v5,0.77,0.76,0.74,8
indian_pines,20,v5,0.76,0.72,0.73,9
indian_pines,20,v5,0.75,0.67,0.72,10
indian_pines,20,v5,0.78,0.81,0.75,11
indian_pines,20,v5,0.76,0.76,0.72,12
indian_pines,20,v5,0.77,0.76,0.74,13
indian_pines,20,v5,0.77,0.74,0.74,14
indian_pines,20,v5,0.79,0.77,0.76,15
indian_pines,20,v5,0.77,0.76,0.74,16
indian_pines,20,v5,0.78,0.77,0.75,17
indian_pines,20,v5,0.76,0.76,0.73,18
indian_pines,20,v5,0.78,0.73,0.75,19
indian_pines,19,v5,0.77,0.79,0.74,0
indian_pines,19,v5,0.77,0.75,0.74,1
indian_pines,19,v5,0.79,0.74,0.76,2
indian_pines,19,v5,0.76,0.76,0.72,3
indian_pines,19,v5,0.75,0.71,0.72,4
indian_pines,19,v5,0.78,0.73,0.75,5
indian_pines,19,v5,0.78,0.79,0.75,6
indian_pines,19,v5,0.78,0.76,0.75,7
indian_pines,19,v5,0.77,0.75,0.74,8
indian_pines,19,v5,0.76,0.73,0.73,9
indian_pines,19,v5,0.75,0.68,0.71,10
indian_pines,19,v5,0.78,0.81,0.75,11
indian_pines,19,v5,0.76,0.76,0.72,12
indian_pines,19,v5,0.77,0.75,0.73,13
indian_pines,19,v5,0.77,0.74,0.74,14
indian_pines,19,v5,0.79,0.78,0.76,15
indian_pines,19,v5,0.76,0.76,0.73,16
indian_pines,19,v5,0.78,0.77,0.74,17
indian_pines,19,v5,0.76,0.76,0.73,18
indian_pines,19,v5,0.79,0.73,0.76,19
indian_pines,18,v5,0.77,0.78,0.74,0
indian_pines,18,v5,0.76,0.75,0.73,1
indian_pines,18,v5,0.78,0.73,0.75,2
indian_pines,18,v5,0.76,0.77,0.72,3
indian_pines,18,v5,0.75,0.7,0.72,4
indian_pines,18,v5,0.77,0.73,0.74,5
indian_pines,18,v5,0.77,0.78,0.74,6
indian_pines,18,v5,0.78,0.77,0.75,7
indian_pines,18,v5,0.76,0.73,0.73,8
indian_pines,18,v5,0.76,0.73,0.73,9
indian_pines,18,v5,0.74,0.67,0.7,10
indian_pines,18,v5,0.77,0.8,0.74,11
indian_pines,18,v5,0.76,0.75,0.73,12
indian_pines,18,v5,0.76,0.74,0.73,13
indian_pines,18,v5,0.76,0.74,0.73,14
indian_pines,18,v5,0.78,0.77,0.75,15
indian_pines,18,v5,0.76,0.75,0.73,16
indian_pines,18,v5,0.78,0.76,0.75,17
indian_pines,18,v5,0.76,0.76,0.73,18
indian_pines,18,v5,0.78,0.72,0.75,19
indian_pines,17,v5,0.76,0.77,0.72,0
indian_pines,17,v5,0.76,0.74,0.73,1
indian_pines,17,v5,0.77,0.73,0.74,2
indian_pines,17,v5,0.75,0.77,0.72,3
indian_pines,17,v5,0.75,0.7,0.71,4
