dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,8,bsdr,0.7,0.63,0.66,0
indian_pines,8,bsdr,0.7,0.63,0.66,1
indian_pines,8,bsdr,0.7,0.63,0.66,2
indian_pines,8,bsdr,0.7,0.63,0.66,3
indian_pines,8,bsdr,0.7,0.63,0.66,4
indian_pines,8,bsdr,0.7,0.63,0.66,5
indian_pines,8,bsdr,0.7,0.63,0.66,6
indian_pines,8,bsdr,0.7,0.63,0.66,7
indian_pines,8,bsdr,0.7,0.63,0.66,8
indian_pines,8,bsdr,0.7,0.63,0.66,9
indian_pines,8,bsdr,0.7,0.63,0.66,10
indian_pines,8,bsdr,0.7,0.63,0.66,11
indian_pines,8,bsdr,0.7,0.63,0.66,12
indian_pines,8,bsdr,0.7,0.63,0.66,13
indian_pines,8,bsdr,0.7,0.63,0.66,14
indian_pines,8,bsdr,0.7,0.63,0.66,15
indian_pines,8,bsdr,0.7,0.63,0.66,16
indian_pines,8,bsdr,0.7,0.63,0.66,17
indian_pines,8,bsdr,0.7,0.63,0.66,18
indian_pines,8,bsdr,0.7,0.63,0.66,19
