epoch,mse,oa,aa,k,selected_bands
0,2.891,0.699,0.636,0.658,22|44|66|88|110|132|154|176
10,2.629,0.699,0.636,0.658,22|44|66|88|110|132|154|176
20,2.408,0.699,0.597,0.656,22|44|65|87|110|131|153|176
30,2.219,0.704,0.601,0.662,23|44|65|87|110|131|153|177
40,2.073,0.708,0.63,0.666,23|44|65|86|110|131|153|177
50,1.956,0.7,0.627,0.658,22|45|64|86|110|131|153|177
60,1.862,0.7,0.617,0.657,22|45|64|86|110|130|153|177
70,1.784,0.706,0.619,0.663,22|45|63|86|110|130|153|177
80,1.718,0.7,0.622,0.658,22|45|63|86|110|130|153|178
90,1.661,0.704,0.623,0.662,22|45|63|86|110|129|153|178
100,1.611,0.693,0.617,0.65,23|45|63|86|110|128|152|178
110,1.565,0.704,0.627,0.662,23|45|63|86|110|128|153|178
120,1.522,0.704,0.627,0.662,23|45|63|86|110|128|153|178
130,1.481,0.705,0.625,0.663,23|45|63|86|110|127|152|178
140,1.44,0.705,0.625,0.663,23|45|63|86|110|127|152|178
150,1.399,0.705,0.625,0.663,23|45|63|86|110|127|152|178
160,1.358,0.705,0.625,0.663,23|45|63|86|110|127|152|178
170,1.318,0.705,0.625,0.663,23|45|63|86|110|127|152|178
180,1.281,0.7,0.631,0.658,23|45|63|86|110|127|153|178
190,1.248,0.705,0.625,0.663,23|45|63|86|110|127|152|178
200,1.217,0.705,0.625,0.663,23|45|63|86|110|127|152|178
210,1.188,0.705,0.625,0.663,23|45|63|86|110|127|152|178
220,1.161,0.705,0.625,0.663,23|45|63|86|110|127|152|178
230,1.135,0.705,0.625,0.663,23|45|63|86|110|127|152|178
240,1.111,0.705,0.625,0.663,23|45|63|86|110|127|152|178
250,1.087,0.705,0.625,0.663,23|45|63|86|110|127|152|178
260,1.064,0.705,0.625,0.663,23|45|63|86|110|127|152|178
270,1.043,0.7,0.631,0.658,23|45|63|86|110|127|153|178
280,1.023,0.7,0.631,0.658,23|45|63|86|110|127|153|178
290,1.005,0.7,0.631,0.658,23|45|63|86|110|127|153|178
300,0.988,0.7,0.631,0.658,23|45|63|86|110|127|153|178
310,0.972,0.7,0.631,0.658,23|45|63|86|110|127|153|178
320,0.957,0.7,0.631,0.658,23|45|63|86|110|127|153|178
330,0.943,0.7,0.631,0.658,23|45|63|86|110|127|153|178
340,0.93,0.7,0.631,0.658,23|45|63|86|110|127|153|178
350,0.918,0.7,0.631,0.658,23|45|63|86|110|127|153|178
360,0.906,0.7,0.631,0.658,23|45|63|86|110|127|153|178
370,0.895,0.7,0.631,0.658,23|45|63|86|110|127|153|178
380,0.885,0.7,0.631,0.658,23|45|63|86|110|127|153|178
390,0.875,0.7,0.631,0.658,23|45|63|86|110|127|153|178
400,0.866,0.7,0.631,0.658,23|45|63|86|110|127|153|178
410,0.857,0.7,0.631,0.658,23|45|63|86|110|127|153|178
420,0.848,0.7,0.631,0.658,23|45|63|86|110|127|153|178
430,0.84,0.7,0.631,0.658,23|45|63|86|110|127|153|178
440,0.833,0.7,0.631,0.658,23|45|63|86|110|127|153|178
450,0.825,0.7,0.631,0.658,23|45|63|86|110|127|153|178
460,0.818,0.7,0.631,0.658,23|45|63|86|110|127|153|178
470,0.811,0.7,0.631,0.658,23|45|63|86|110|127|153|178
480,0.805,0.7,0.631,0.658,23|45|63|86|110|127|153|178
490,0.799,0.7,0.631,0.658,23|45|63|86|110|127|153|178
