dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
ghisaconus,30,spa,25.099,0.796,0.66,0.66,0|1|6|11|17|25|28|35|48|49|50|55|61|62|71|76|79|91|98|102|106|109|112|115|117|121|124|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,29,spa,24.195,0.801,0.666,0.666,0|1|6|11|17|25|28|35|48|49|50|55|61|62|71|76|79|91|98|102|106|109|112|117|121|124|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,28,spa,23.726,0.808,0.687,0.687,0|3|9|16|24|27|29|31|46|49|50|55|61|62|71|76|77|89|101|102|106|109|117|121|124|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,27,spa,22.874,0.803,0.68,0.68,0|1|6|11|23|26|28|33|46|48|49|50|55|62|71|76|77|89|101|103|109|117|121|124|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,26,spa,22.169,0.8,0.672,0.672,0|1|5|11|17|24|28|32|46|48|49|50|55|62|71|76|77|89|101|102|109|117|121|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,25,spa,21.531,0.801,0.676,0.676,0|1|6|11|23|26|28|33|46|48|49|55|62|71|76|77|89|102|109|116|119|124|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,24,spa,20.677,0.796,0.671,0.671,0|1|5|11|17|24|28|32|46|48|49|55|62|71|76|77|89|102|109|117|121|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,23,spa,20.068,0.8,0.671,0.671,0|6|11|15|24|28|32|46|48|49|55|62|71|76|77|89|102|109|117|121|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,22,spa,19.528,0.801,0.68,0.68,0|8|13|24|27|29|31|46|49|55|62|71|76|77|89|102|109|117|121|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,21,spa,18.45,0.803,0.679,0.679,0|6|11|15|24|28|32|46|49|55|62|71|76|77|89|102|109|117|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,20,spa,18.283,0.796,0.672,0.672,0|6|11|15|24|28|32|46|49|55|62|71|76|89|102|109|117|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,19,spa,16.91,0.794,0.669,0.669,0|6|12|24|27|31|46|49|55|62|71|76|89|102|109|117|126|128|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,18,spa,16.125,0.788,0.666,0.666,0|6|12|24|27|31|46|49|55|62|71|76|89|102|109|117|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,17,spa,15.345,0.796,0.677,0.677,1|10|16|24|28|32|46|55|62|71|76|89|102|109|117|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,16,spa,14.674,0.793,0.679,0.679,0|6|12|24|27|31|46|55|62|71|76|89|102|117|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,15,spa,13.761,0.789,0.678,0.678,0|2|11|24|27|31|46|55|62|71|76|89|102|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,14,spa,12.843,0.782,0.676,0.676,0|3|11|24|27|31|46|62|71|76|89|102|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,13,spa,12.023,0.782,0.661,0.661,1|11|17|28|32|46|62|71|76|89|102|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,12,spa,11.322,0.775,0.651,0.651,1|10|16|28|32|46|71|76|89|102|126|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,11,spa,10.429,0.78,0.67,0.67,1|10|16|28|32|46|71|76|89|102|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,10,spa,9.535,0.753,0.641,0.641,1|11|25|28|35|48|71|76|97|130,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,9,spa,8.712,0.734,0.631,0.631,1|11|26|28|46|55|76|90|126,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,8,spa,7.786,0.703,0.618,0.618,1|26|28|46|55|76|90|126,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,7,spa,6.944,0.703,0.614,0.614,1|26|28|46|76|90|126,0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,6,spa,6.118,0.666,0.588,0.588,1|24|27|46|89|130,0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,5,spa,5.212,0.668,0.578,0.578,1|27|46|89|130,0.0|0.0|0.0|0.0|0.0
indian_pines,30,spa,126.512,0.596,0.497,0.497,0|1|17|19|26|29|33|34|39|56|60|73|74|75|84|87|88|89|96|102|103|104|105|106|131|143|144|145|198|199,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
