dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
ghisaconus,30,v2,23.287,0.801,0.692,0.692,3|4|6|10|12|13|15|19|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|92|101|104|116,0.9890736937522888|0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.8591129779815674|0.9804615378379822|0.049177464097738266|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.020845575258135796|0.0063572539947927|0.9979118704795837|0.004779399372637272
ghisaconus,29,v2,0.0,0.793,0.682,0.682,3|4|6|10|12|13|15|19|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|92|101|116,0.9890736937522888|0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.8591129779815674|0.9804615378379822|0.049177464097738266|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.020845575258135796|0.0063572539947927|0.004779399372637272
ghisaconus,28,v2,0.0,0.801,0.691,0.691,3|4|6|10|12|13|15|19|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|92|101,0.9890736937522888|0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.8591129779815674|0.9804615378379822|0.049177464097738266|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.020845575258135796|0.0063572539947927
ghisaconus,27,v2,0.0,0.803,0.69,0.69,4|6|10|12|13|15|19|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|92|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.8591129779815674|0.9804615378379822|0.049177464097738266|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.020845575258135796|0.0063572539947927
ghisaconus,26,v2,0.0,0.804,0.691,0.691,4|6|10|12|13|15|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|92|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.8591129779815674|0.9804615378379822|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.020845575258135796|0.0063572539947927
ghisaconus,25,v2,0.0,0.801,0.688,0.688,4|6|10|12|15|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|92|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.9804615378379822|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.020845575258135796|0.0063572539947927
ghisaconus,24,v2,0.0,0.799,0.688,0.688,4|6|10|12|15|22|23|27|29|30|31|33|38|39|41|44|45|57|61|62|66|78|88|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.9804615378379822|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9910110235214233|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.0063572539947927
ghisaconus,23,v2,0.0,0.802,0.691,0.691,4|6|10|12|15|22|23|27|29|30|31|33|38|39|41|45|57|61|62|66|78|88|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.9804615378379822|0.983744204044342|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.0063572539947927
ghisaconus,22,v2,0.0,0.803,0.689,0.689,4|6|10|12|15|23|27|29|30|31|33|38|39|41|45|57|61|62|66|78|88|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.9804615378379822|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9929797053337097|0.04958587512373924|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.0063572539947927
ghisaconus,21,v2,0.0,0.799,0.685,0.685,4|6|10|12|15|23|27|29|30|31|33|38|39|41|45|61|62|66|78|88|101,0.016697131097316742|0.0096006840467453|0.9950816631317139|0.9499476552009583|0.9804615378379822|0.9584712982177734|0.9924078583717346|0.20977559685707092|0.9321812987327576|0.9513417482376099|0.8949806094169617|0.9505128860473633|0.9795090556144714|0.011375567875802517|0.9929797053337097|0.9227251410484314|0.978279709815979|0.9883526563644409|0.8578420877456665|0.9875936508178711|0.0063572539947927
