dataset,target_size,algorithm,oa,aa,k,fold
ghisaconus,30,v6,0.8,0.69,0.69,0
ghisaconus,30,v6,0.8,0.69,0.69,1
ghisaconus,30,v6,0.8,0.69,0.69,2
ghisaconus,30,v6,0.8,0.69,0.69,3
ghisaconus,30,v6,0.8,0.69,0.69,4
ghisaconus,30,v6,0.8,0.69,0.69,5
ghisaconus,30,v6,0.8,0.69,0.69,6
ghisaconus,30,v6,0.8,0.69,0.69,7
ghisaconus,30,v6,0.8,0.69,0.69,8
ghisaconus,30,v6,0.8,0.69,0.69,9
ghisaconus,30,v6,0.8,0.69,0.69,10
ghisaconus,30,v6,0.8,0.69,0.69,11
ghisaconus,30,v6,0.8,0.69,0.69,12
ghisaconus,30,v6,0.8,0.69,0.69,13
ghisaconus,30,v6,0.8,0.69,0.69,14
ghisaconus,30,v6,0.8,0.69,0.69,15
ghisaconus,30,v6,0.8,0.69,0.69,16
ghisaconus,30,v6,0.8,0.69,0.69,17
ghisaconus,30,v6,0.8,0.69,0.69,18
ghisaconus,30,v6,0.8,0.69,0.69,19
ghisaconus,29,v6,0.8,0.69,0.68,0
ghisaconus,29,v6,0.8,0.69,0.68,1
ghisaconus,29,v6,0.8,0.69,0.68,2
ghisaconus,29,v6,0.8,0.69,0.68,3
ghisaconus,29,v6,0.8,0.69,0.68,4
ghisaconus,29,v6,0.8,0.69,0.68,5
ghisaconus,29,v6,0.8,0.69,0.68,6
ghisaconus,29,v6,0.8,0.69,0.68,7
ghisaconus,29,v6,0.8,0.69,0.68,8
ghisaconus,29,v6,0.8,0.69,0.68,9
ghisaconus,29,v6,0.8,0.69,0.68,10
ghisaconus,29,v6,0.8,0.69,0.68,11
ghisaconus,29,v6,0.8,0.69,0.68,12
ghisaconus,29,v6,0.8,0.69,0.68,13
ghisaconus,29,v6,0.8,0.69,0.68,14
ghisaconus,29,v6,0.8,0.69,0.68,15
ghisaconus,29,v6,0.8,0.69,0.68,16
ghisaconus,29,v6,0.8,0.69,0.68,17
ghisaconus,29,v6,0.8,0.69,0.68,18
ghisaconus,29,v6,0.8,0.69,0.68,19
ghisaconus,28,v6,0.79,0.68,0.68,0
ghisaconus,28,v6,0.79,0.68,0.68,1
ghisaconus,28,v6,0.79,0.68,0.68,2
ghisaconus,28,v6,0.79,0.68,0.68,3
ghisaconus,28,v6,0.79,0.68,0.68,4
ghisaconus,28,v6,0.79,0.68,0.68,5
ghisaconus,28,v6,0.79,0.68,0.68,6
ghisaconus,28,v6,0.79,0.68,0.68,7
ghisaconus,28,v6,0.79,0.68,0.68,8
ghisaconus,28,v6,0.79,0.68,0.68,9
ghisaconus,28,v6,0.79,0.68,0.68,10
ghisaconus,28,v6,0.79,0.68,0.68,11
ghisaconus,28,v6,0.79,0.68,0.68,12
ghisaconus,28,v6,0.79,0.68,0.68,13
