dataset,target_size,algorithm,oa,aa,k,fold
ghisaconus,30,v0_grad,0.78,0.66,0.66,0
ghisaconus,30,v0_grad,0.78,0.66,0.66,1
ghisaconus,30,v0_grad,0.78,0.66,0.66,2
ghisaconus,30,v0_grad,0.78,0.66,0.66,3
ghisaconus,30,v0_grad,0.78,0.66,0.66,4
ghisaconus,30,v0_grad,0.78,0.66,0.66,5
ghisaconus,30,v0_grad,0.78,0.66,0.66,6
ghisaconus,30,v0_grad,0.78,0.66,0.66,7
ghisaconus,30,v0_grad,0.78,0.66,0.66,8
ghisaconus,30,v0_grad,0.78,0.66,0.66,9
ghisaconus,30,v0_grad,0.78,0.66,0.66,10
ghisaconus,30,v0_grad,0.78,0.66,0.66,11
ghisaconus,30,v0_grad,0.78,0.66,0.66,12
ghisaconus,30,v0_grad,0.78,0.66,0.66,13
ghisaconus,30,v0_grad,0.78,0.66,0.66,14
ghisaconus,30,v0_grad,0.78,0.66,0.66,15
ghisaconus,30,v0_grad,0.78,0.66,0.66,16
ghisaconus,30,v0_grad,0.78,0.66,0.66,17
ghisaconus,30,v0_grad,0.78,0.66,0.66,18
ghisaconus,30,v0_grad,0.78,0.66,0.66,19
