dataset,oa,aa,k,target_size,algorithm,time,selected_features,selected_weights
indian_pines,0.74,0.61,0.7,0,all,0.0,,
paviaU,0.92,0.9,0.9,0,all,0.0,,
salinas,0.92,0.96,0.91,0,all,0.0,,
ghisaconus,0.76,0.71,0.63,0,all,0.0,,
indian_pines,0.734,0.676,0.676,30,bsnet,180.586,5|30|40|46|47|53|60|66|67|68|84|102|112|117|125|126|129|141|148|149|152|165|168|172|176|181|182|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.478069543838501|0.46905526518821716|0.49398526549339294|0.5090572237968445|0.48401638865470886|0.5160646438598633|0.4679439961910248|0.46996238827705383|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4701671302318573|0.4799686670303345|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.733,0.675,0.675,29,bsnet,0.0,5|30|40|46|47|53|60|67|68|84|102|112|117|125|126|129|141|148|149|152|165|168|172|176|181|182|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.478069543838501|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.4679439961910248|0.46996238827705383|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4701671302318573|0.4799686670303345|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.734,0.675,0.675,28,bsnet,0.0,5|30|40|46|53|60|67|68|84|102|112|117|125|126|129|141|148|149|152|165|168|172|176|181|182|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.4679439961910248|0.46996238827705383|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4701671302318573|0.4799686670303345|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.734,0.675,0.675,27,bsnet,0.0,5|30|40|46|53|60|67|68|102|112|117|125|126|129|141|148|149|152|165|168|172|176|181|182|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.46996238827705383|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4701671302318573|0.4799686670303345|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.748,0.698,0.698,26,bsnet,0.0,5|30|40|46|53|60|67|68|112|117|125|126|129|141|148|149|152|165|168|172|176|181|182|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4701671302318573|0.4799686670303345|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.748,0.699,0.699,25,bsnet,0.0,5|30|40|46|53|60|67|68|112|117|125|126|129|141|148|149|152|165|168|172|176|181|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4701671302318573|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.747,0.698,0.698,24,bsnet,0.0,5|30|40|46|53|60|67|68|112|117|125|126|129|141|148|149|152|165|168|172|176|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.45709189772605896|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.744,0.696,0.696,23,bsnet,0.0,5|30|40|46|53|60|67|68|112|117|125|126|129|141|148|152|165|168|172|176|183|187|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4247422218322754|0.5041502118110657|0.500778317451477
indian_pines,0.744,0.697,0.697,22,bsnet,0.0,5|30|40|46|53|60|67|68|112|117|125|126|129|141|148|152|165|168|172|176|183|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4552210569381714|0.4724573493003845|0.5257181525230408|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4247422218322754|0.500778317451477
indian_pines,0.741,0.694,0.694,21,bsnet,0.0,5|30|40|46|53|60|67|68|112|117|125|126|141|148|152|165|168|172|176|183|195,0.564424991607666|0.42016440629959106|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4724573493003845|0.5257181525230408|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4247422218322754|0.500778317451477
indian_pines,0.716,0.676,0.676,20,bsnet,0.0,5|40|46|53|60|67|68|112|117|125|126|141|148|152|165|168|172|176|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4724573493003845|0.5257181525230408|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.40014025568962097|0.4247422218322754|0.500778317451477
indian_pines,0.714,0.672,0.672,19,bsnet,0.0,5|40|46|53|60|67|68|112|117|125|126|141|148|152|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4724573493003845|0.5257181525230408|0.48101916909217834|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.713,0.674,0.674,18,bsnet,0.0,5|40|46|53|60|67|68|112|117|125|126|141|148|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.44898757338523865|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4724573493003845|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.708,0.666,0.666,17,bsnet,0.0,5|40|46|53|60|67|68|117|125|126|141|148|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.4724573493003845|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.707,0.669,0.669,16,bsnet,0.0,5|40|46|53|60|67|68|117|125|126|148|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.46905526518821716|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.71,0.671,0.671,15,bsnet,0.0,5|40|46|60|67|68|117|125|126|148|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.49398526549339294|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.715,0.684,0.684,14,bsnet,0.0,5|40|46|67|68|117|125|126|148|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.4743127226829529|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.71,0.679,0.679,13,bsnet,0.0,5|40|46|67|68|117|125|148|165|168|172|183|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.4247422218322754|0.500778317451477
indian_pines,0.711,0.68,0.68,12,bsnet,0.0,5|40|46|67|68|117|125|148|165|168|172|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.5257181525230408|0.484563946723938|0.4455775320529938|0.473339319229126|0.500778317451477
indian_pines,0.713,0.676,0.676,11,bsnet,0.0,5|40|46|67|68|117|125|148|165|172|195,0.564424991607666|0.5094718337059021|0.47541821002960205|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.5257181525230408|0.484563946723938|0.473339319229126|0.500778317451477
indian_pines,0.715,0.678,0.678,10,bsnet,0.0,5|40|67|68|117|125|148|165|172|195,0.564424991607666|0.5094718337059021|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.5257181525230408|0.484563946723938|0.473339319229126|0.500778317451477
indian_pines,0.703,0.665,0.665,9,bsnet,0.0,5|40|67|68|117|125|165|172|195,0.564424991607666|0.5094718337059021|0.48401638865470886|0.5160646438598633|0.4400137662887573|0.4894880950450897|0.484563946723938|0.473339319229126|0.500778317451477
indian_pines,0.701,0.663,0.663,8,bsnet,0.0,5|40|67|117|125|165|172|195,0.564424991607666|0.5094718337059021|0.48401638865470886|0.4400137662887573|0.4894880950450897|0.484563946723938|0.473339319229126|0.500778317451477
indian_pines,0.701,0.66,0.66,7,bsnet,0.0,5|40|67|117|125|165|195,0.564424991607666|0.5094718337059021|0.48401638865470886|0.4400137662887573|0.4894880950450897|0.484563946723938|0.500778317451477
indian_pines,0.72,0.681,0.681,6,bsnet,0.0,5|40|67|117|125|165,0.564424991607666|0.5094718337059021|0.48401638865470886|0.4400137662887573|0.4894880950450897|0.484563946723938
indian_pines,0.691,0.65,0.65,5,bsnet,0.0,40|67|117|125|165,0.5094718337059021|0.48401638865470886|0.4400137662887573|0.4894880950450897|0.484563946723938
indian_pines,0.702,0.653,0.653,30,v0,477.226,3|4|7|9|15|20|21|23|28|30|84|94|101|107|109|117|121|126|132|162|164|167|173|175|179|183|187|189|191|192,0.5337696075439453|0.5681772232055664|0.46053773164749146|0.38922300934791565|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.672375500202179|0.8270964622497559|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.6195616722106934|0.8130041360855103|0.7600395083427429
indian_pines,0.704,0.655,0.655,29,v0,0.0,3|4|7|9|15|20|21|23|28|30|84|94|101|107|109|117|121|126|132|162|164|167|173|175|179|183|187|189|191,0.5337696075439453|0.5681772232055664|0.46053773164749146|0.38922300934791565|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.672375500202179|0.8270964622497559|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.6195616722106934|0.8130041360855103
indian_pines,0.702,0.652,0.652,28,v0,0.0,3|4|7|9|15|20|21|23|28|30|84|94|101|107|109|117|126|132|162|164|167|173|175|179|183|187|189|191,0.5337696075439453|0.5681772232055664|0.46053773164749146|0.38922300934791565|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.672375500202179|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.6195616722106934|0.8130041360855103
indian_pines,0.701,0.651,0.651,27,v0,0.0,3|4|7|15|20|21|23|28|30|84|94|101|107|109|117|126|132|162|164|167|173|175|179|183|187|189|191,0.5337696075439453|0.5681772232055664|0.46053773164749146|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.672375500202179|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.6195616722106934|0.8130041360855103
indian_pines,0.702,0.652,0.652,26,v0,0.0,4|7|15|20|21|23|28|30|84|94|101|107|109|117|126|132|162|164|167|173|175|179|183|187|189|191,0.5681772232055664|0.46053773164749146|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.672375500202179|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.6195616722106934|0.8130041360855103
indian_pines,0.704,0.652,0.652,25,v0,0.0,4|7|15|20|21|23|28|30|84|94|101|107|109|117|126|132|162|164|167|173|175|179|183|187|191,0.5681772232055664|0.46053773164749146|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.672375500202179|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.8130041360855103
indian_pines,0.699,0.649,0.649,24,v0,0.0,4|7|15|20|21|23|28|30|84|94|101|107|109|126|132|162|164|167|173|175|179|183|187|191,0.5681772232055664|0.46053773164749146|0.7779133319854736|0.5058120489120483|0.6670675873756409|0.4831075966358185|0.227185919880867|0.8287849426269531|0.7762479782104492|0.5968297719955444|0.7009152173995972|0.16715146601200104|0.4058954119682312|0.921533465385437|0.7591607570648193|0.6206487417221069|0.1760319024324417|0.8107112646102905|0.8938557505607605|0.8637666702270508|0.15080925822257996|0.3782038390636444|0.7077345848083496|0.8130041360855103
