dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v9,0.8,0.8,0.77,0
indian_pines,30,v9,0.79,0.78,0.77,1
indian_pines,30,v9,0.79,0.77,0.76,2
indian_pines,30,v9,0.79,0.79,0.76,3
indian_pines,30,v9,0.79,0.74,0.76,4
indian_pines,30,v9,0.8,0.76,0.77,5
indian_pines,30,v9,0.8,0.8,0.77,6
indian_pines,30,v9,0.81,0.78,0.78,7
indian_pines,30,v9,0.81,0.76,0.78,8
indian_pines,30,v9,0.79,0.76,0.76,9
indian_pines,30,v9,0.79,0.71,0.77,10
indian_pines,30,v9,0.79,0.8,0.76,11
indian_pines,30,v9,0.79,0.8,0.76,12
indian_pines,30,v9,0.8,0.77,0.77,13
indian_pines,30,v9,0.79,0.76,0.76,14
indian_pines,30,v9,0.8,0.77,0.78,15
indian_pines,30,v9,0.8,0.77,0.77,16
indian_pines,30,v9,0.81,0.74,0.78,17
indian_pines,30,v9,0.8,0.78,0.77,18
indian_pines,30,v9,0.81,0.76,0.79,19
indian_pines,29,v9,0.8,0.8,0.77,0
indian_pines,29,v9,0.79,0.77,0.76,1
indian_pines,29,v9,0.79,0.77,0.76,2
indian_pines,29,v9,0.79,0.79,0.76,3
indian_pines,29,v9,0.78,0.74,0.75,4
indian_pines,29,v9,0.79,0.75,0.77,5
indian_pines,29,v9,0.8,0.79,0.77,6
indian_pines,29,v9,0.81,0.78,0.79,7
indian_pines,29,v9,0.8,0.76,0.78,8
indian_pines,29,v9,0.79,0.75,0.76,9
indian_pines,29,v9,0.79,0.71,0.77,10
indian_pines,29,v9,0.79,0.8,0.76,11
indian_pines,29,v9,0.79,0.8,0.76,12
indian_pines,29,v9,0.8,0.78,0.77,13
indian_pines,29,v9,0.79,0.76,0.76,14
indian_pines,29,v9,0.8,0.79,0.78,15
indian_pines,29,v9,0.8,0.77,0.77,16
indian_pines,29,v9,0.81,0.74,0.78,17
indian_pines,29,v9,0.8,0.78,0.77,18
indian_pines,29,v9,0.81,0.76,0.78,19
indian_pines,28,v9,0.79,0.8,0.76,0
indian_pines,28,v9,0.79,0.77,0.76,1
indian_pines,28,v9,0.79,0.77,0.76,2
indian_pines,28,v9,0.79,0.78,0.76,3
indian_pines,28,v9,0.79,0.74,0.76,4
indian_pines,28,v9,0.79,0.75,0.76,5
indian_pines,28,v9,0.79,0.79,0.76,6
indian_pines,28,v9,0.81,0.78,0.78,7
indian_pines,28,v9,0.8,0.76,0.77,8
indian_pines,28,v9,0.78,0.75,0.75,9
indian_pines,28,v9,0.8,0.71,0.77,10
indian_pines,28,v9,0.79,0.8,0.77,11
indian_pines,28,v9,0.79,0.8,0.77,12
indian_pines,28,v9,0.8,0.78,0.77,13
indian_pines,28,v9,0.79,0.76,0.76,14
indian_pines,28,v9,0.8,0.79,0.78,15
indian_pines,28,v9,0.8,0.77,0.77,16
indian_pines,28,v9,0.8,0.73,0.77,17
indian_pines,28,v9,0.79,0.77,0.76,18
indian_pines,28,v9,0.81,0.76,0.78,19
indian_pines,27,v9,0.78,0.8,0.75,0
indian_pines,27,v9,0.79,0.77,0.76,1
indian_pines,27,v9,0.79,0.77,0.76,2
indian_pines,27,v9,0.79,0.79,0.76,3
indian_pines,27,v9,0.78,0.74,0.75,4
indian_pines,27,v9,0.79,0.75,0.76,5
indian_pines,27,v9,0.8,0.79,0.77,6
indian_pines,27,v9,0.8,0.77,0.78,7
indian_pines,27,v9,0.8,0.75,0.77,8
indian_pines,27,v9,0.78,0.75,0.76,9
indian_pines,27,v9,0.8,0.71,0.77,10
indian_pines,27,v9,0.79,0.8,0.76,11
indian_pines,27,v9,0.79,0.8,0.77,12
indian_pines,27,v9,0.8,0.78,0.77,13
indian_pines,27,v9,0.79,0.75,0.76,14
indian_pines,27,v9,0.8,0.79,0.77,15
indian_pines,27,v9,0.8,0.77,0.77,16
indian_pines,27,v9,0.8,0.73,0.77,17
indian_pines,27,v9,0.79,0.77,0.76,18
indian_pines,27,v9,0.81,0.76,0.78,19
indian_pines,26,v9,0.78,0.79,0.75,0
indian_pines,26,v9,0.79,0.77,0.76,1
indian_pines,26,v9,0.79,0.77,0.76,2
indian_pines,26,v9,0.79,0.78,0.76,3
indian_pines,26,v9,0.78,0.74,0.75,4
indian_pines,26,v9,0.78,0.75,0.75,5
indian_pines,26,v9,0.8,0.79,0.77,6
indian_pines,26,v9,0.8,0.77,0.78,7
indian_pines,26,v9,0.8,0.75,0.77,8
indian_pines,26,v9,0.79,0.75,0.76,9
indian_pines,26,v9,0.79,0.7,0.76,10
indian_pines,26,v9,0.79,0.8,0.76,11
indian_pines,26,v9,0.8,0.8,0.77,12
indian_pines,26,v9,0.8,0.78,0.77,13
indian_pines,26,v9,0.78,0.76,0.75,14
indian_pines,26,v9,0.8,0.79,0.78,15
indian_pines,26,v9,0.79,0.77,0.77,16
indian_pines,26,v9,0.8,0.73,0.77,17
indian_pines,26,v9,0.79,0.77,0.76,18
indian_pines,26,v9,0.81,0.76,0.78,19
indian_pines,25,v9,0.78,0.79,0.75,0
