epoch,mse,oa,aa,k,selected_bands
840,0.276,0.775,0.666,0.649,6|15|17|23|29|37|47|47|62|60|57|77|90|91|90|92|104|108|118|126
850,0.273,0.778,0.663,0.654,6|15|17|23|29|36|47|47|62|60|57|77|90|91|90|92|104|108|118|126
860,0.273,0.768,0.65,0.639,6|15|17|23|29|36|47|47|63|60|57|76|90|91|90|92|104|108|118|126
870,0.281,0.779,0.652,0.655,6|15|17|23|29|37|47|47|62|60|57|76|90|91|89|92|103|108|118|126
880,0.272,0.771,0.649,0.644,6|15|17|23|29|36|47|47|63|61|57|76|90|91|90|92|104|108|118|126
890,0.272,0.776,0.667,0.651,6|15|17|23|29|36|47|47|63|60|57|77|90|91|89|92|103|108|118|126
900,0.267,0.773,0.648,0.648,6|15|17|23|29|36|47|47|62|60|57|76|90|91|89|92|104|108|118|126
910,0.296,0.776,0.667,0.651,6|15|17|23|29|36|47|47|63|60|57|77|90|91|89|92|103|108|118|126
920,0.276,0.776,0.664,0.651,6|15|17|23|29|36|47|47|63|60|57|77|90|91|89|92|104|108|118|126
930,0.27,0.764,0.647,0.633,6|15|17|23|29|36|47|47|63|60|56|76|90|91|90|92|104|108|118|126
940,0.262,0.777,0.65,0.652,6|15|17|23|29|36|47|47|62|60|56|76|90|91|89|92|103|108|118|126
950,0.262,0.764,0.647,0.633,6|15|17|23|29|36|47|47|63|60|56|76|90|91|90|92|104|108|118|126
960,0.26,0.764,0.647,0.633,6|15|17|23|29|36|47|47|63|60|56|76|90|91|90|92|104|108|118|126
970,0.258,0.777,0.665,0.652,6|15|17|23|29|36|47|47|62|60|56|77|90|91|90|92|104|108|118|126
980,0.259,0.768,0.65,0.639,6|15|17|23|29|36|47|47|63|60|57|76|90|91|90|92|104|108|118|126
990,0.269,0.766,0.651,0.636,6|15|16|23|29|36|47|47|63|60|56|76|90|91|90|92|104|108|118|126
1000,0.257,0.775,0.661,0.649,6|15|16|23|29|36|47|47|63|60|56|77|90|91|89|92|104|108|118|126
1010,0.266,0.771,0.647,0.644,6|15|16|23|29|36|47|47|62|60|56|76|90|91|90|92|104|108|118|126
1020,0.268,0.774,0.66,0.649,6|15|16|23|29|36|47|47|63|61|57|77|90|91|89|92|104|108|118|126
1030,0.267,0.773,0.674,0.648,6|15|16|23|29|37|47|47|63|60|57|77|90|91|89|92|104|108|117|126
1040,0.262,0.769,0.653,0.642,6|15|16|23|29|36|47|47|63|60|56|76|90|91|89|92|104|108|118|126
1050,0.251,0.779,0.661,0.656,6|15|16|23|29|36|47|47|62|60|57|77|90|91|90|92|103|108|118|126
1060,0.249,0.771,0.649,0.643,6|15|16|23|29|36|47|47|63|60|57|76|90|91|89|92|104|108|118|126
1070,0.247,0.773,0.649,0.647,6|15|16|23|29|36|47|47|62|60|56|76|90|91|89|92|104|108|118|126
1080,0.246,0.772,0.663,0.646,6|15|16|23|29|36|47|47|63|60|56|77|90|91|90|92|104|108|118|126
1090,0.245,0.779,0.652,0.656,6|15|16|23|29|36|47|47|62|61|56|76|90|91|90|92|103|108|118|126
1100,0.243,0.777,0.666,0.652,6|15|16|23|29|37|47|47|62|60|56|77|90|91|90|92|104|108|118|126
1110,0.246,0.776,0.651,0.651,6|15|16|23|29|36|47|47|62|61|56|76|90|91|90|92|104|108|118|126
1120,0.255,0.771,0.653,0.643,6|15|16|23|29|36|47|47|63|61|56|77|90|91|90|92|104|108|118|126
1130,0.241,0.775,0.659,0.65,6|15|16|23|29|37|47|47|62|61|56|77|90|91|90|92|103|108|118|126
1140,0.289,0.775,0.654,0.649,6|15|16|23|29|36|47|47|63|61|56|76|90|91|90|92|103|108|118|126
1150,0.271,0.771,0.653,0.644,6|15|16|23|29|36|48|47|63|61|56|77|90|91|90|92|103|108|118|126
1160,0.252,0.777,0.648,0.653,6|15|16|23|29|37|47|47|62|61|57|76|90|91|89|92|104|108|118|126
1170,0.241,0.775,0.651,0.649,6|15|16|23|29|36|47|47|63|61|56|76|90|91|89|92|104|108|118|126
1180,0.24,0.777,0.663,0.652,6|15|16|23|29|37|47|47|62|60|56|77|90|91|90|92|103|108|118|126
1190,0.237,0.777,0.66,0.652,6|15|16|23|29|36|47|47|62|61|56|77|90|91|90|92|104|108|118|126
1200,0.236,0.777,0.657,0.652,6|15|16|23|29|36|47|47|62|61|56|77|90|91|90|92|103|108|118|126
1210,0.236,0.777,0.66,0.652,6|15|16|23|29|36|47|47|62|61|56|77|90|91|90|92|104|108|118|126
1220,0.236,0.77,0.649,0.642,6|15|16|23|29|36|47|47|63|61|56|76|90|91|90|92|104|108|118|126
1230,0.234,0.779,0.652,0.656,6|15|16|23|29|36|47|47|62|61|56|76|90|91|90|92|103|108|118|126
1240,0.24,0.776,0.651,0.651,6|15|16|23|29|36|47|47|62|61|56|76|90|91|90|92|104|108|118|126
1250,0.265,0.77,0.649,0.642,6|15|16|23|29|36|47|47|63|61|56|76|90|91|90|92|104|108|118|126
1260,0.273,0.776,0.649,0.651,6|15|16|23|29|36|48|47|63|61|57|76|90|91|90|92|103|108|118|126
1270,0.245,0.775,0.652,0.65,6|14|16|23|29|36|48|47|63|61|56|76|90|91|90|92|103|108|118|126
1280,0.234,0.779,0.667,0.656,6|14|16|23|29|37|47|47|62|61|57|77|90|91|90|92|103|108|118|126
1290,0.234,0.771,0.648,0.644,6|14|16|23|29|36|47|47|63|61|56|76|90|91|90|92|104|108|118|126
1300,0.232,0.773,0.657,0.646,6|14|16|23|29|37|47|47|62|61|56|77|90|91|90|92|103|108|118|126
1310,0.23,0.773,0.657,0.646,6|14|16|23|29|37|47|47|62|61|56|77|90|91|90|92|103|108|118|126
1320,0.229,0.779,0.667,0.656,6|14|16|23|29|37|47|47|62|61|57|77|90|91|90|92|103|108|118|126
1330,0.229,0.774,0.654,0.648,6|14|16|23|29|36|47|47|63|61|56|76|90|91|90|92|103|108|118|126
1340,0.228,0.771,0.65,0.642,6|14|16|23|29|37|47|47|63|61|56|77|90|91|90|92|103|108|118|126
1350,0.268,0.78,0.653,0.658,6|14|16|23|29|37|47|47|62|61|57|76|90|91|90|92|103|108|118|126
1360,0.324,0.771,0.642,0.643,6|14|16|23|29|36|48|47|63|61|57|76|90|91|90|92|103|108|118|127
1370,0.276,0.772,0.65,0.645,6|14|16|23|29|34|47|47|63|61|56|75|90|91|90|92|103|108|118|126
1380,0.258,0.776,0.653,0.652,6|14|16|23|29|36|46|48|62|61|57|75|90|91|89|92|103|108|118|126
1390,0.24,0.78,0.657,0.658,5|14|16|23|29|36|47|47|63|61|56|76|91|91|89|92|103|108|118|126
1400,0.231,0.775,0.657,0.651,5|14|16|23|29|37|47|47|63|61|56|76|91|91|90|92|103|108|118|127
1410,0.226,0.777,0.659,0.652,6|14|16|23|29|37|47|47|62|61|56|77|91|91|89|92|103|108|118|127
1420,0.224,0.776,0.66,0.651,6|14|16|23|29|37|47|47|62|61|56|77|90|91|89|92|103|108|118|126
1430,0.222,0.776,0.66,0.651,6|14|16|23|29|37|47|47|62|61|56|77|90|91|89|92|103|108|118|126
1440,0.221,0.776,0.66,0.651,6|14|16|23|29|37|47|47|62|61|56|77|90|91|89|92|103|108|118|126
1450,0.221,0.775,0.658,0.649,6|14|16|23|29|37|47|47|62|61|56|77|90|91|89|92|103|108|118|127
1460,0.22,0.775,0.658,0.649,6|14|16|23|29|37|47|47|62|61|56|77|90|91|89|92|103|108|118|127
1470,0.219,0.778,0.661,0.654,6|14|16|23|29|37|47|47|62|61|56|77|90|92|89|92|103|108|118|127
1480,0.218,0.776,0.658,0.652,6|14|16|23|29|36|47|47|62|61|56|77|90|92|89|92|103|108|118|127
1490,0.218,0.776,0.658,0.652,6|14|16|23|29|36|47|47|62|61|56|77|90|92|89|92|103|108|118|127
1500,0.218,0.771,0.652,0.643,6|14|16|23|29|36|47|47|63|61|56|77|90|92|89|92|103|108|118|127
1510,0.23,0.771,0.652,0.643,6|14|16|23|29|36|47|47|63|61|56|77|90|92|89|92|103|108|118|127
1520,0.229,0.776,0.658,0.652,6|14|16|23|29|36|47|47|62|61|56|77|90|92|89|92|103|108|118|127
1530,0.222,0.774,0.654,0.648,6|14|16|23|29|36|47|47|63|61|56|77|90|92|89|92|103|108|118|126
1540,0.226,0.772,0.652,0.645,6|14|16|23|29|37|47|47|63|61|56|76|90|92|90|92|103|108|118|127
1550,0.219,0.776,0.655,0.651,6|14|16|23|29|36|47|47|63|61|56|76|90|92|90|92|103|108|118|126
1560,0.214,0.775,0.66,0.65,6|14|16|23|29|37|47|47|62|61|56|77|91|92|90|92|103|108|118|127
1570,0.214,0.775,0.656,0.649,6|14|16|23|29|37|47|47|62|61|56|77|90|92|89|92|104|108|118|127
1580,0.217,0.777,0.653,0.653,6|14|16|23|29|36|47|47|63|61|56|76|90|92|89|92|103|108|118|127
1590,0.213,0.776,0.658,0.652,6|14|16|23|29|36|47|47|62|61|56|77|90|92|89|92|103|108|118|127
1600,0.226,0.773,0.654,0.647,6|14|16|23|29|37|47|47|63|61|56|77|90|92|89|92|103|108|118|127
1610,0.213,0.771,0.653,0.643,6|14|16|23|29|37|47|47|63|61|56|77|90|92|90|92|103|108|118|127
1620,0.288,0.771,0.654,0.643,6|14|16|23|29|36|48|47|63|61|56|77|90|92|89|92|103|108|118|127
1630,0.304,0.772,0.65,0.645,6|14|16|23|29|36|48|47|63|61|57|76|91|92|90|92|103|108|118|126
1640,0.367,0.777,0.662,0.653,5|14|16|23|29|36|47|47|62|61|56|77|91|91|90|92|103|108|118|126
1650,0.267,0.777,0.661,0.654,5|13|16|23|29|37|48|48|63|61|56|76|91|91|90|92|103|108|118|126
1660,0.231,0.778,0.654,0.655,5|14|16|23|29|36|47|47|63|61|56|76|90|91|89|92|104|108|118|126
1670,0.22,0.783,0.666,0.662,5|14|16|23|29|37|47|47|62|61|56|76|91|91|89|92|103|108|118|126
1680,0.213,0.777,0.658,0.654,5|14|16|23|29|37|47|47|63|61|56|77|91|92|89|92|103|108|118|127
1690,0.21,0.779,0.659,0.656,5|14|16|23|29|37|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1700,0.209,0.779,0.659,0.656,5|14|16|23|29|37|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1710,0.208,0.779,0.654,0.656,5|14|16|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1720,0.207,0.779,0.654,0.656,5|14|16|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1730,0.206,0.779,0.654,0.656,5|14|16|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1740,0.206,0.779,0.654,0.656,5|14|16|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1750,0.205,0.779,0.654,0.656,5|14|16|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1760,0.205,0.779,0.654,0.656,5|14|16|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1770,0.204,0.778,0.651,0.654,5|14|17|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1780,0.204,0.778,0.651,0.654,5|14|17|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1790,0.205,0.776,0.654,0.651,5|14|17|23|29|36|47|47|63|61|56|76|91|92|89|92|103|108|118|127
1800,0.208,0.782,0.661,0.661,5|13|17|23|29|36|47|47|63|61|56|76|91|92|89|92|103|108|118|127
1810,0.207,0.783,0.658,0.663,5|13|17|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1820,0.202,0.782,0.661,0.661,5|13|17|23|29|36|47|47|63|61|56|76|91|92|89|92|103|108|118|127
1830,0.209,0.781,0.663,0.659,5|13|17|23|29|36|47|47|62|61|56|77|91|92|89|92|104|108|118|127
1840,0.203,0.78,0.658,0.658,5|13|16|23|29|36|47|47|63|61|56|76|91|92|89|92|104|108|118|127
1850,0.204,0.783,0.658,0.663,5|13|17|23|29|36|47|47|62|61|56|76|91|92|89|92|103|108|118|127
1860,0.251,0.777,0.662,0.653,5|13|16|23|29|36|47|47|63|61|56|77|91|92|89|93|103|108|118|127
1870,0.257,0.777,0.661,0.654,5|13|16|23|29|36|47|47|63|61|56|77|91|92|90|92|103|108|118|127
1880,0.237,0.777,0.654,0.653,5|13|16|23|29|36|48|47|63|61|56|76|91|92|90|93|103|108|118|127
1890,0.204,0.78,0.656,0.658,5|13|16|23|29|36|47|47|63|61|56|76|91|92|90|92|103|108|118|127
1900,0.208,0.783,0.661,0.662,5|13|16|23|29|36|47|47|63|61|56|76|91|92|89|92|103|108|118|127
1910,0.199,0.776,0.661,0.653,5|13|16|23|29|36|47|47|63|61|56|77|91|92|89|92|103|108|118|127
1920,0.198,0.779,0.661,0.656,5|13|16|23|29|36|47|47|62|61|56|77|91|92|89|92|103|108|118|127
1930,0.198,0.779,0.661,0.656,5|13|16|23|29|36|47|47|62|61|56|77|91|92|89|92|103|108|118|127
1940,0.197,0.779,0.661,0.656,5|13|16|23|29|36|47|47|62|61|56|77|91|92|89|92|103|108|118|127
1950,0.196,0.78,0.662,0.657,5|13|16|23|29|36|47|47|62|61|56|77|91|92|89|92|104|108|118|127
1960,0.197,0.781,0.663,0.659,5|13|17|23|29|36|47|47|62|61|56|77|91|92|89|92|104|108|118|127
1970,0.196,0.785,0.657,0.666,5|13|16|23|29|36|47|47|62|61|56|76|91|92|89|92|104|108|118|127
1980,0.198,0.78,0.663,0.658,5|13|16|23|29|36|47|47|63|61|56|77|91|92|89|92|104|108|118|127
1990,0.195,0.786,0.656,0.667,5|13|16|23|29|36|47|47|62|61|56|76|91|92|89|93|104|108|118|127
