dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v4,0.77,0.78,0.74,0
indian_pines,30,v4,0.77,0.77,0.74,1
indian_pines,30,v4,0.79,0.73,0.76,2
indian_pines,30,v4,0.77,0.75,0.74,3
indian_pines,30,v4,0.76,0.72,0.73,4
indian_pines,30,v4,0.79,0.74,0.76,5
indian_pines,30,v4,0.8,0.78,0.77,6
indian_pines,30,v4,0.8,0.77,0.77,7
indian_pines,30,v4,0.79,0.74,0.76,8
indian_pines,30,v4,0.77,0.74,0.74,9
indian_pines,30,v4,0.77,0.68,0.74,10
indian_pines,30,v4,0.79,0.77,0.77,11
indian_pines,30,v4,0.78,0.77,0.75,12
indian_pines,30,v4,0.79,0.77,0.76,13
indian_pines,30,v4,0.79,0.75,0.76,14
indian_pines,30,v4,0.79,0.77,0.77,15
indian_pines,30,v4,0.79,0.75,0.76,16
indian_pines,30,v4,0.8,0.72,0.77,17
indian_pines,30,v4,0.78,0.77,0.75,18
indian_pines,30,v4,0.8,0.75,0.78,19
indian_pines,29,v4,0.77,0.77,0.74,0
indian_pines,29,v4,0.77,0.76,0.74,1
indian_pines,29,v4,0.79,0.73,0.76,2
indian_pines,29,v4,0.76,0.74,0.73,3
indian_pines,29,v4,0.76,0.71,0.73,4
indian_pines,29,v4,0.79,0.74,0.76,5
indian_pines,29,v4,0.79,0.78,0.76,6
indian_pines,29,v4,0.79,0.77,0.77,7
indian_pines,29,v4,0.78,0.74,0.75,8
indian_pines,29,v4,0.77,0.74,0.73,9
indian_pines,29,v4,0.77,0.68,0.74,10
indian_pines,29,v4,0.79,0.76,0.76,11
indian_pines,29,v4,0.78,0.77,0.75,12
indian_pines,29,v4,0.79,0.76,0.76,13
indian_pines,29,v4,0.78,0.75,0.75,14
indian_pines,29,v4,0.79,0.77,0.76,15
indian_pines,29,v4,0.78,0.75,0.75,16
indian_pines,29,v4,0.79,0.72,0.76,17
indian_pines,29,v4,0.77,0.75,0.73,18
indian_pines,29,v4,0.8,0.75,0.77,19
indian_pines,28,v4,0.77,0.77,0.74,0
indian_pines,28,v4,0.77,0.75,0.74,1
indian_pines,28,v4,0.78,0.73,0.75,2
indian_pines,28,v4,0.76,0.76,0.73,3
indian_pines,28,v4,0.76,0.71,0.73,4
indian_pines,28,v4,0.78,0.73,0.75,5
indian_pines,28,v4,0.79,0.78,0.76,6
indian_pines,28,v4,0.79,0.77,0.76,7
indian_pines,28,v4,0.78,0.74,0.74,8
indian_pines,28,v4,0.77,0.74,0.74,9
indian_pines,28,v4,0.77,0.68,0.74,10
indian_pines,28,v4,0.79,0.79,0.76,11
indian_pines,28,v4,0.77,0.77,0.74,12
indian_pines,28,v4,0.78,0.75,0.75,13
indian_pines,28,v4,0.78,0.75,0.75,14
indian_pines,28,v4,0.79,0.76,0.76,15
indian_pines,28,v4,0.77,0.75,0.74,16
indian_pines,28,v4,0.78,0.72,0.75,17
indian_pines,28,v4,0.76,0.76,0.73,18
indian_pines,28,v4,0.79,0.74,0.76,19
indian_pines,27,v4,0.77,0.77,0.73,0
indian_pines,27,v4,0.77,0.75,0.74,1
indian_pines,27,v4,0.78,0.72,0.75,2
indian_pines,27,v4,0.76,0.76,0.72,3
indian_pines,27,v4,0.76,0.7,0.72,4
indian_pines,27,v4,0.78,0.74,0.75,5
indian_pines,27,v4,0.78,0.78,0.75,6
indian_pines,27,v4,0.79,0.77,0.76,7
indian_pines,27,v4,0.77,0.74,0.74,8
indian_pines,27,v4,0.77,0.74,0.73,9
indian_pines,27,v4,0.76,0.68,0.73,10
indian_pines,27,v4,0.79,0.78,0.76,11
indian_pines,27,v4,0.77,0.77,0.74,12
indian_pines,27,v4,0.78,0.76,0.75,13
indian_pines,27,v4,0.78,0.75,0.75,14
indian_pines,27,v4,0.79,0.76,0.76,15
indian_pines,27,v4,0.77,0.75,0.74,16
indian_pines,27,v4,0.78,0.71,0.75,17
indian_pines,27,v4,0.76,0.76,0.73,18
indian_pines,27,v4,0.79,0.74,0.76,19
indian_pines,26,v4,0.78,0.79,0.75,0
indian_pines,26,v4,0.78,0.76,0.75,1
indian_pines,26,v4,0.78,0.73,0.75,2
indian_pines,26,v4,0.76,0.77,0.73,3
indian_pines,26,v4,0.77,0.71,0.74,4
indian_pines,26,v4,0.78,0.74,0.75,5
indian_pines,26,v4,0.79,0.78,0.76,6
indian_pines,26,v4,0.8,0.77,0.77,7
indian_pines,26,v4,0.78,0.75,0.75,8
indian_pines,26,v4,0.77,0.73,0.73,9
indian_pines,26,v4,0.76,0.69,0.73,10
indian_pines,26,v4,0.79,0.78,0.76,11
indian_pines,26,v4,0.77,0.78,0.74,12
indian_pines,26,v4,0.78,0.76,0.75,13
indian_pines,26,v4,0.79,0.75,0.76,14
indian_pines,26,v4,0.8,0.77,0.77,15
indian_pines,26,v4,0.77,0.75,0.74,16
indian_pines,26,v4,0.79,0.72,0.76,17
indian_pines,26,v4,0.77,0.76,0.73,18
indian_pines,26,v4,0.79,0.74,0.76,19
indian_pines,25,v4,0.78,0.79,0.75,0
indian_pines,25,v4,0.77,0.76,0.74,1
indian_pines,25,v4,0.78,0.73,0.75,2
indian_pines,25,v4,0.76,0.77,0.73,3
indian_pines,25,v4,0.76,0.71,0.73,4
indian_pines,25,v4,0.78,0.74,0.75,5
indian_pines,25,v4,0.78,0.78,0.75,6
indian_pines,25,v4,0.79,0.77,0.77,7
indian_pines,25,v4,0.77,0.74,0.74,8
indian_pines,25,v4,0.75,0.73,0.72,9
indian_pines,25,v4,0.76,0.69,0.73,10
indian_pines,25,v4,0.78,0.77,0.75,11
indian_pines,25,v4,0.77,0.77,0.74,12
indian_pines,25,v4,0.78,0.76,0.75,13
