fold,dataset,oa,aa,k
0,indian_pines,0.743,0.616,0.706
1,indian_pines,0.741,0.625,0.704
2,indian_pines,0.729,0.614,0.689
3,indian_pines,0.729,0.606,0.69
4,indian_pines,0.74,0.603,0.701
5,indian_pines,0.744,0.605,0.707
6,indian_pines,0.742,0.614,0.705
7,indian_pines,0.738,0.602,0.7
8,indian_pines,0.742,0.614,0.704
9,indian_pines,0.721,0.598,0.682
10,indian_pines,0.734,0.584,0.695
11,indian_pines,0.747,0.656,0.709
12,indian_pines,0.734,0.659,0.697
13,indian_pines,0.738,0.639,0.7
14,indian_pines,0.757,0.639,0.722
15,indian_pines,0.723,0.575,0.682
16,indian_pines,0.735,0.625,0.696
17,indian_pines,0.74,0.617,0.701
18,indian_pines,0.73,0.583,0.689
19,indian_pines,0.751,0.609,0.714
0,paviaU,0.928,0.908,0.904
1,paviaU,0.926,0.908,0.902
2,paviaU,0.915,0.894,0.888
3,paviaU,0.92,0.901,0.894
4,paviaU,0.915,0.894,0.888
5,paviaU,0.921,0.896,0.894
6,paviaU,0.925,0.908,0.9
7,paviaU,0.926,0.908,0.901
8,paviaU,0.922,0.901,0.896
9,paviaU,0.915,0.892,0.887
10,paviaU,0.92,0.901,0.894
11,paviaU,0.92,0.889,0.894
12,paviaU,0.925,0.906,0.9
13,paviaU,0.927,0.91,0.903
14,paviaU,0.924,0.905,0.899
15,paviaU,0.914,0.897,0.887
16,paviaU,0.92,0.899,0.893
17,paviaU,0.914,0.884,0.886
18,paviaU,0.924,0.908,0.899
19,paviaU,0.92,0.898,0.894
0,salinas,0.916,0.958,0.906
1,salinas,0.92,0.96,0.911
2,salinas,0.918,0.957,0.909
3,salinas,0.918,0.959,0.909
4,salinas,0.919,0.955,0.909
5,salinas,0.919,0.961,0.91
6,salinas,0.923,0.961,0.914
7,salinas,0.92,0.96,0.911
8,salinas,0.917,0.959,0.908
9,salinas,0.919,0.961,0.91
10,salinas,0.922,0.959,0.913
11,salinas,0.917,0.958,0.907
12,salinas,0.923,0.963,0.914
13,salinas,0.922,0.961,0.913
14,salinas,0.915,0.958,0.905
15,salinas,0.921,0.959,0.912
16,salinas,0.915,0.959,0.905
17,salinas,0.919,0.962,0.91
18,salinas,0.919,0.96,0.91
19,salinas,0.916,0.956,0.906
